Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Oxford A		1st	1st	1st	2nd	1st	14	824	4	1
2	LSE stands for Library Sex Enjoyers (a		1st	1st	1st	1st	3rd	13	817	4	0
3	Cambridge A		1st	1st	2nd	3rd	1st	12	824	3	1
4	Ljubljana Hej Slovani	ESL	1st	3rd	1st	1st	2nd	12	812	3	1
5	Oxford B		3rd	1st	1st	2nd	1st	12	784	3	1
6	EUDU Wurdaan in Copenhagen? The west ha		1st	1st	2nd	4th	1st	11	803	3	1
7	Separate but equal……… speeches	ESL	1st	2nd	2nd	2nd	2nd	11	798	1	4
8	Cambridge Copenhagen was a prep comp for Cop		2nd	1st	4th	1st	1st	11	785	3	1
9	Newydd Aburestvičevci A		2nd	1st	1st	3rd	3rd	10	801	2	1
10	Daan did leg day for a year just t	ESL	1st	2nd	3rd	2nd	2nd	10	801	1	3
11	Tartu A	ESL	1st	2nd	3rd	2nd	2nd	10	792	1	3
12	Tallinn unseen university a	ESL	3rd	2nd	1st	1st	3rd	10	779	2	1
13	baltic quota fillers	ESL	2nd	1st	4th	2nd	1st	10	776	2	2
14	Belgrade BK	ESL	1st	1st	3rd	4th	1st	10	772	3	0
15	WSDC Denmark Coach Laura is abusive please help		1st	3rd	1st	1st	4th	10	768	3	0
16	our lovechild would look like jame		2nd	2nd	2nd	4th	1st	9	788	1	3
17	München tja	ESL	2nd	3rd	1st	1st	4th	9	786	2	1
18	Leiden Peter Singer enjoyers	ESL	2nd	2nd	2nd	3rd	2nd	9	781	0	4
19	WSDC Denmark Peter &amp; Haniya	ESL	2nd	2nd	2nd	1st	4th	9	767	1	3
20	INSEAD FT#3	ESL	3rd	1st	3rd	3rd	1st	9	762	2	0
21	Chronos We are here for Natalie&#x27;s crush	ESL	3rd	3rd	1st	1st	3rd	9	758	2	0
22	Debate partners with drawbacks		3rd	2nd	3rd	1st	2nd	9	753	1	2
23	Stockholm Vasa&#x27;s Verbal Broadsides		3rd	4th	2nd	1st	1st	9	749	2	1
24	München Munich🍺	ESL	3rd	2nd	1st	3rd	2nd	9	748	1	2
25	Pärnu Passat Division Σ	ESL	1st	4th	3rd	1st	3rd	8	762	2	0
26	One of us can get killed by a cook	ESL	1st	2nd	4th	4th	1st	8	761	2	1
27	WSDC Denmark Sam &amp; Marcus		3rd	1st	4th	1st	3rd	8	761	2	0
28	München DC Garching is the real Munich	ESL	1st	3rd	4th	2nd	2nd	8	761	1	2
29	LSE KS		3rd	1st	3rd	1st	4th	8	757	2	0
30	Leiden Coping in the Hagen		1st	4th	2nd	3rd	2nd	8	754	1	2
31	Altaylardan Tunaya	ESL	4th	1st	4th	2nd	1st	8	753	2	1
32	Oxford C		2nd	4th	1st	2nd	3rd	8	748	1	2
33	DK Wien Dom &amp; sub situationship	ESL	2nd	3rd	2nd	3rd	3rd	7	779	0	2
34	CDS e me rolling, they hating	ESL	1st	4th	2nd	4th	2nd	7	761	1	2
35	2 Germans 1 Kebab	ESL	2nd	2nd	4th	3rd	2nd	7	759	0	3
36	München Just here for the Kanelsnegle	ESL	1st	4th	2nd	2nd	4th	7	751	1	2
37	Berlin π	ESL	2nd	3rd	1st	4th	3rd	7	748	1	1
38	Budapest BanDia	ESL	4th	1st	1st	3rd	4th	7	747	2	0
39	Aachen Fishy fingers		3rd	2nd	2nd	2nd	4th	7	740	0	3
40	SSE Riga Auh auh auuuu	ESL	3rd	4th	1st	3rd	2nd	7	733	1	1
41	WSDC Denmark Aatish &amp; Tanish		4th	1st	4th	1st	3rd	7	721	2	0
42	Stockholm I&#x27;m Mid AF FML	ESL	2nd	4th	3rd	3rd	1st	7	716	1	1
43	Stockholm C		4th	3rd	2nd	3rd	1st	7	712	1	1
44	CDS TBD		2nd	1st	3rd	4th	4th	6	771	1	1
45	CDS The deliberators		4th	2nd	2nd	2nd	4th	6	755	0	3
46	Tartu Vi farede vild, hvor er Aarhus?	ESL	2nd	3rd	3rd	3rd	3rd	6	745	0	1
47	CDS Straight Outta Balkans	ESL	1st	4th	3rd	3rd	3rd	6	742	1	0
48	Berlin ö to the ø	ESL	2nd	4th	4th	2nd	2nd	6	736	0	3
49	ihj nincs nagyon	ESL	4th	2nd	3rd	4th	1st	6	735	1	1
50	CDS Taking a 1st in socials	ESL	2nd	3rd	4th	2nd	3rd	6	734	0	2
51	Aachen DCAC RAY	ESL	3rd	3rd	1st	4th	4th	5	749	1	0
52	LSE Take De Bait		3rd	3rd	4th	1st	4th	5	736	1	0
53	Vilnius One and a half Greek men	ESL	2nd	3rd	4th	4th	2nd	5	734	0	2
54	Corvinus High taxes &amp; government deficit...		3rd	3rd	3rd	4th	2nd	5	721	0	1
55	WP Sanssouci Speakers	ESL	3rd	2nd	3rd	4th	3rd	5	719	0	1
56	Berlin the newbies		4th	3rd	2nd	2nd	4th	5	714	0	2
57	Imperial Su		4th	4th	2nd	1st	—	5	586	1	1
58	Berlin KaiserDAMN!	ESL	4th	2nd	2nd	4th	4th	4	726	0	2
59	SSE Riga Valga		4th	3rd	3rd	4th	2nd	4	692	0	1
60	CDS The Debatinators		3rd	4th	4th	—	1st	4	577	1	0
61	Corvinus ... led to governmental collapse i	ESL	3rd	4th	3rd	4th	3rd	3	700	0	0
62	WANTED: Witch Mommy	ESL	4th	3rd	4th	2nd	4th	3	699	0	1
63	Berlin Osclear and Belaevable	ESL	4th	4th	3rd	3rd	3rd	3	697	0	0
64	Sorbonne Tvgirlies		4th	2nd	4th	3rd	4th	3	683	0	1
65	Sorbonne The pookies	ESL	4th	4th	1st	4th	—	3	571	1	0
66	Swing 1		4th	4th	1st	—	—	3	443	1	0
67	Sorbonne The economist	ESL	4th	1st	4th	—	—	3	436	1	0
68	Tartu Kuulilennuteetunneliluuk	ESL	4th	4th	4th	—	—	0	408	0	0
69	Swing 2		—	—	—	—	4th	0	142	0	0
70=	Swing 3		—	—	—	—	—	—	—	0	0
70=	Swing X		—	—	—	—	—	—	—	0	0

Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
1	Max Rosen		Cambridge A	83	82	83	84	83	415	83.00	0.63
2=	Gareth Lim Yefeng		Oxford A	79	83	84	85	81	412	82.40	2.15
2=	Bharath Anantham		Oxford A	79	83	82	86	82	412	82.40	2.24
4=	Aniket Godbole		LSE stands for Library Sex Enjoyers (a	84	79	81	87	79	410	82.00	3.10
4=	David Safro	ESL	Ljubljana Hej Slovani	83	77	85	84	81	410	82.00	2.83
6	Sophie Hannigan	Novice	Cambridge A	82	82	82	82	81	409	81.80	0.40
7	Stefan-Christian Milicescu	ESL	LSE stands for Library Sex Enjoyers (a	83	79	81	86	78	407	81.40	2.87
8=	Maj Hrovatin	ESL	Ljubljana Hej Slovani	82	77	83	81	79	402	80.40	2.15
8=	Wurdaan Kashif		EUDU Wurdaan in Copenhagen? The west ha	80	80	80	82	80	402	80.40	0.80
8=	Daan Spackler	ESL	Daan did leg day for a year just t	82	80	80	81	79	402	80.40	1.02
8=	Lovro Marušić	ESL	Newydd Aburestvičevci A	79	85	82	78	78	402	80.40	2.73
12=	Tom Milling		EUDU Wurdaan in Copenhagen? The west ha	79	81	80	82	79	401	80.20	1.17
12=	Victor Bervoets	ESL	Separate but equal……… speeches	81	78	80	81	81	401	80.20	1.17
14=	Martijn Logtenberg	ESL	Daan did leg day for a year just t	80	81	80	81	77	399	79.80	1.47
14=	Zach Godley-McAvoy		Newydd Aburestvičevci A	78	84	81	78	78	399	79.80	2.40
16=	Fraser McConachie		Cambridge Copenhagen was a prep comp for Cop	80	81	76	78	82	397	79.40	2.15
16=	Kristjan Suuder	ESL	Tartu A	80	80	78	80	79	397	79.40	0.80
16=	Uzair Tajuddin	ESL	Separate but equal……… speeches	81	77	80	80	79	397	79.40	1.36
19	Krish Singh		our lovechild would look like jame	78	84	84	70	80	396	79.20	5.15
20	Tanel Mütt	ESL	Tartu A	79	79	78	80	79	395	79.00	0.63
21	Philipp Steen	ESL	München tja	79	76	82	82	75	394	78.80	2.93
22=	Nicole Wong		Oxford B	77	77	81	75	82	392	78.40	2.65
22=	Alex Chan	ESL	Oxford B	76	77	81	75	83	392	78.40	3.07
22=	Adora Sabau	ESL	München tja	77	76	82	82	75	392	78.40	3.01
22=	Alex Steinmetz	ESL	our lovechild would look like jame	78	83	83	70	78	392	78.40	4.76
26=	Jakub Michalski	ESL	Leiden Peter Singer enjoyers	78	74	80	80	79	391	78.20	2.23
26=	Barbara Neuworth	ESL	DK Wien Dom &amp; sub situationship	79	81	80	75	76	391	78.20	2.32
28=	Daan Koning	ESL	Leiden Peter Singer enjoyers	79	75	79	79	78	390	78.00	1.55
28=	Richard Käsper	ESL	Tallinn unseen university a	77	77	78	81	77	390	78.00	1.55
28=	Mirtel Etverk	ESL	baltic quota fillers	82	79	77	75	77	390	78.00	2.37
31	Ellen Roper	ESL	Tallinn unseen university a	77	76	79	81	76	389	77.80	1.94
32=	Olivia Arbour	Novice	Cambridge Copenhagen was a prep comp for Cop	78	79	75	77	79	388	77.60	1.50
32=	Anton Gonta	ESL	DK Wien Dom &amp; sub situationship	78	81	78	75	76	388	77.60	2.06
34=	Darin Mansurbeg	ESL	WSDC Denmark Coach Laura is abusive please help	75	78	81	76	77	387	77.40	2.06
34=	Peter Nyvold Bojsen-Møller	Novice, ESL	WSDC Denmark Peter &amp; Haniya	75	77	79	82	74	387	77.40	2.87
34=	Alisa Popova		CDS TBD	79	77	80	78	73	387	77.40	2.42
34=	Obrad Kostic	ESL	Belgrade BK	80	77	78	75	77	387	77.40	1.62
38	Tommi Valgma	ESL	baltic quota fillers	81	77	76	76	76	386	77.20	1.94
39=	Zhangyang Shen	ESL	INSEAD FT#3	75	78	79	76	77	385	77.00	1.41
39=	Strahinja Batanjski	ESL	Belgrade BK	79	78	77	75	76	385	77.00	1.41
41	Lars Bum Laugesen	ESL	CDS TBD	79	78	79	77	71	384	76.80	2.99
42	Michele Liu		LSE KS	76	81	80	75	71	383	76.60	3.61
43=	Jola Schmidt	ESL	München DC Garching is the real Munich	75	76	76	77	78	382	76.40	1.02
43=	Lina Fefer	Novice, ESL	One of us can get killed by a cook	79	78	76	74	75	382	76.40	1.85
45=	Daniël Hooimeijer	ESL	Leiden Coping in the Hagen	78	77	75	73	78	381	76.20	1.94
45=	Maria Bahar Alamgiralam	Novice, ESL	WSDC Denmark Coach Laura is abusive please help	75	77	78	75	76	381	76.20	1.17
45=	Marcus Carl Christofer Johansson*	Novice	WSDC Denmark Sam &amp; Marcus	76	79	75	78	73	381	76.20	2.14
45=	Alexander L. Q. Chen-Florea	ESL	CDS e me rolling, they hating	76	77	78	74	76	381	76.20	1.33
45=	Finn Mescher	ESL	2 Germans 1 Kebab	76	77	77	75	76	381	76.20	0.75
45=	Arp Harald Tamm	ESL	Pärnu Passat Division Σ	79	75	74	78	75	381	76.20	1.94
45=	Ramon Gelkov	ESL	Pärnu Passat Division Σ	80	75	74	78	74	381	76.20	2.40
52=	Haniya Yusuf*	Novice, ESL	WSDC Denmark Peter &amp; Haniya	73	76	79	80	72	380	76.00	3.16
52=	Samuel Studsgarth*	Novice	WSDC Denmark Sam &amp; Marcus	75	79	75	77	74	380	76.00	1.79
54=	Natalia Beboshvili	ESL	Chronos We are here for Natalie&#x27;s crush	74	74	79	77	75	379	75.80	1.94
54=	Leon Kersten	ESL	Chronos We are here for Natalie&#x27;s crush	74	73	80	77	75	379	75.80	2.48
54=	Julia Kirzinger	ESL	München DC Garching is the real Munich	74	77	75	76	77	379	75.80	1.17
54=	Lana Avramović	Novice, ESL	One of us can get killed by a cook	78	77	75	75	74	379	75.80	1.47
58=	Dhairya Sanghavi		CDS The deliberators	73	78	78	74	75	378	75.60	2.06
58=	Enes Taha Erdogan	ESL	2 Germans 1 Kebab	76	76	76	75	75	378	75.60	0.49
60=	Terry Yang	Novice	Oxford C	74	73	77	79	74	377	75.40	2.24
60=	Avinash Pulugurtha	ESL	INSEAD FT#3	73	78	76	74	76	377	75.40	1.74
60=	Kshitij Aggarwal	ESL	CDS The deliberators	73	78	77	75	74	377	75.40	1.85
60=	Tarık Denizhan	Novice, ESL	Altaylardan Tunaya	76	80	77	68	76	377	75.40	3.98
60=	Amanda Vilén		Debate partners with drawbacks	73	79	73	78	74	377	75.40	2.58
65=	Inga Peters	ESL	Berlin π	74	74	77	74	77	376	75.20	1.47
65=	Benjamin Dekker		Stockholm Vasa&#x27;s Verbal Broadsides	74	73	73	77	79	376	75.20	2.40
65=	Leander Mathissen	ESL	München Just here for the Kanelsnegle	79	74	76	74	73	376	75.20	2.14
65=	Ahmet Nadir Akgül	Novice, ESL	Altaylardan Tunaya	76	79	76	68	77	376	75.20	3.76
65=	Adian Roman	ESL	Debate partners with drawbacks	73	78	73	78	74	376	75.20	2.32
70=	Diána Pásztor	ESL	Budapest BanDia	77	74	79	77	68	375	75.00	3.85
70=	Yiyang Qian	ESL	Aachen DCAC RAY	79	74	76	72	74	375	75.00	2.37
