
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	XU 1		1st	2nd	1st	1st	2nd	13	797	3	2
2	SV B		1st	1st	3rd	1st	1st	13	794	4	0
3	DTU A		1st	1st	2nd	2nd	1st	13	792	3	2
4	DDUC A		1st	3rd	1st	1st	2nd	12	787	3	1
5	UNILORIN E		1st	1st	1st	1st	4th	12	785	4	0
6	BAC A		1st	2nd	2nd	2nd	1st	12	785	2	3
7	UNILORIN P		2nd	1st	1st	2nd	3rd	11	786	2	2
8	SAS 1	Novice	3rd	2nd	2nd	1st	1st	11	776	2	2
9	ABSU A		1st	3rd	2nd	2nd	1st	11	774	2	2
10	UNILORIN D		1st	3rd	1st	2nd	2nd	11	773	2	2
11	KNUST D		1st	3rd	1st	1st	3rd	11	766	3	0
12	UNILORIN C	Novice	2nd	2nd	2nd	2nd	1st	11	758	1	4
13	DTU B		1st	1st	1st	3rd	4th	10	787	3	0
14	NLUO 1		1st	1st	3rd	4th	1st	10	781	3	0
15	DRC D		3rd	1st	1st	3rd	2nd	10	780	2	1
16	UPV 2		1st	2nd	2nd	3rd	2nd	10	780	1	3
17	Star Academy 1		1st	4th	1st	1st	3rd	10	775	3	0
18	KNUST C	Novice	2nd	4th	1st	2nd	1st	10	775	2	2
19	Witwatersrand 1		4th	1st	3rd	1st	1st	10	761	3	0
20	Johannesburg A		2nd	1st	4th	3rd	1st	9	772	2	1
21	UN Nsukka 3		2nd	2nd	2nd	3rd	2nd	9	771	0	4
22	KNUST O	Novice	2nd	2nd	4th	1st	2nd	9	770	1	3
23	Johannesburg C		4th	1st	1st	1st	4th	9	766	3	0
24	Kyambogo A		3rd	1st	3rd	1st	3rd	9	766	2	0
25	RPDA RL	Novice	4th	1st	2nd	2nd	2nd	9	766	1	3
26	Kenyatta A		3rd	3rd	1st	1st	3rd	9	765	2	0
27	London B	Novice	2nd	1st	4th	3rd	1st	9	764	2	1
28	RAIPUR A	Novice	1st	1st	2nd	4th	3rd	9	762	2	1
29	UNILORIN I	Novice	1st	2nd	2nd	4th	2nd	9	759	1	3
30	Oxford A		1st	4th	—	1st	1st	9	607	3	0
