
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	ADMU ADMU TV		1st	2nd	1st	1st	1st	14	775	4	1
2	PAC MEZ		1st	1st	1st	2nd	2nd	13	785	3	2
3	AdDU FJ		1st	1st	2nd	1st	3rd	12	780	3	1
4	Meow for POI		2nd	1st	3rd	1st	1st	12	772	3	1
5	franz and franz friend		1st	3rd	2nd	1st	1st	12	768	3	1
6	DLSU loser says poi		1st	1st	3rd	2nd	2nd	11	768	2	2
7	DLSU kalawang		3rd	1st	3rd	1st	1st	11	756	3	0
8	feu-Hehe im shy		1st	2nd	2nd	1st	4th	10	776	2	2
9	Ogie Diaz School of Ganda Gandahan	Novice	2nd	1st	1st	4th	2nd	10	772	2	2
10	ADDU-SHS CrisChrisTanTine		4th	1st	2nd	2nd	1st	10	766	2	2
11	UPLB Comeback Szn		3rd	2nd	2nd	2nd	1st	10	762	1	3
12	DU A	Novice	2nd	1st	2nd	2nd	3rd	10	759	1	3
13	UPLB Flowers		1st	2nd	4th	1st	2nd	10	751	2	2
14	USJ-R It started out with a kiss how did 	Novice	3rd	2nd	3rd	1st	1st	10	751	2	1
15	FEUM FEU GA	Novice	2nd	2nd	2nd	2nd	2nd	10	749	0	5
16	Pogchamp		2nd	1st	1st	3rd	4th	9	765	2	1
17	FEUM FEU AS		1st	3rd	1st	3rd	3rd	9	763	2	0
18	one of us is a lucy gray and coriol		4th	1st	1st	2nd	3rd	9	760	2	1
19	MSU SKELETATO	Novice	1st	4th	1st	4th	1st	9	758	3	0
20=	DLSU-SHS 102.5% Chinese		1st	4th	1st	2nd	3rd	9	756	2	1
20=	Damage Control Failed Successfully		3rd	1st	4th	1st	2nd	9	756	2	1
22	UNUD A		2nd	4th	2nd	1st	2nd	9	756	1	3
23	FEUM FEU MB	Novice	2nd	1st	2nd	4th	2nd	9	754	1	3
24	PHDS Raining in manila pero di nila	Novice	3rd	2nd	4th	1st	1st	9	750	2	1
25	FEUM FEU GV	Novice	1st	2nd	3rd	1st	4th	9	749	2	1
26	MSUIIT IIT AJ	Novice	2nd	4th	1st	3rd	1st	9	745	2	1
27	XUAC Dodot and Diding		3rd	1st	3rd	1st	4th	8	768	2	0
28	MSUIIT IIT SR	Novice	2nd	4th	1st	4th	1st	8	764	2	1
29	its not confidential funds its fanu		1st	1st	4th	3rd	3rd	8	764	2	0
30	14/6 Gang		1st	3rd	1st	3rd	4th	8	757	2	0
31	IIT HJ	Novice	4th	2nd	3rd	1st	2nd	8	754	1	2
32	DLSU Gacha Gamers	Novice	1st	2nd	3rd	3rd	3rd	8	753	1	1
33	USTL - DF	Novice	2nd	3rd	1st	3rd	3rd	8	750	1	1
34	IHMA Kulto ni Aldub	Novice	3rd	3rd	3rd	2nd	1st	8	740	1	1
35	Call Him By His Last Name	Novice	3rd	3rd	2nd	2nd	2nd	8	739	0	3
36	Swing 1		2nd	4th	—	1st	1st	8	604	2	1
37	VIT getting the final stone		1st	4th	2nd	4th	2nd	7	752	1	2
38	UNUD B	Novice	2nd	3rd	3rd	2nd	3rd	7	750	0	2
39	Team Zero (HAUDC)	Novice	4th	1st	2nd	2nd	4th	7	749	1	2
40	One (HAUDC)	Novice	3rd	3rd	2nd	4th	1st	7	747	1	1
41	IHMA TheHowsOfUs😔✊	Novice	4th	2nd	1st	4th	2nd	7	746	1	2
42	sir k3l defenderz	Novice	3rd	1st	4th	2nd	3rd	7	740	1	1
43	PSHS K&lt;3D, R&lt;3J		2nd	2nd	1st	—	—	7	458	1	2
44	Swing 2		—	3rd	1st	1st	—	7	442	2	0
45	UPM Mekus2 #TamaNaYanInsan		2nd	2nd	2nd	4th	4th	6	757	0	3
46	NUDS That time I reincarnated as a 	Novice	1st	3rd	3rd	3rd	4th	6	749	1	0
47	Firecracker (HAUDC)	Novice	4th	1st	4th	3rd	2nd	6	747	1	1
48	send NUDS to semifinals	Novice	4th	2nd	2nd	3rd	3rd	6	744	0	2
49	SBUM Gab^2	Novice	4th	2nd	3rd	2nd	3rd	6	743	0	2
50	SBUM Poiyat		4th	4th	1st	1st	4th	6	740	2	0
51	SBUM BELLAS	Novice	4th	3rd	3rd	3rd	1st	6	739	1	0
52	IHMA El Grasya	Novice	2nd	3rd	4th	4th	1st	6	730	1	1
53	LPD Pababy kami pls	Novice	4th	2nd	—	2nd	2nd	6	605	0	3
54	only institution im breaking down i	Novice	1st	—	1st	—	—	6	315	2	0
55	IHMA debATEfulness	Novice	2nd	1st	4th	4th	4th	5	753	1	1
56	POMNHS this is our first time debating	Novice	3rd	3rd	3rd	2nd	4th	5	744	0	1
57	ULS LJ	Novice	3rd	4th	2nd	4th	2nd	5	742	0	2
58	ADDU-SHS Barbs	Novice	3rd	4th	1st	3rd	4th	5	739	1	0
59=	ADDU-SHS L_N_ Light	Novice	2nd	3rd	3rd	4th	3rd	5	738	0	1
59=	DLSU-SHS go/jo	Novice	3rd	4th	3rd	3rd	2nd	5	738	0	1
61	Euphemia (HAUDC)	Novice	4th	4th	2nd	4th	1st	5	737	1	1
62	ADDU-SHS MAra GAra	Novice	2nd	2nd	4th	3rd	4th	5	737	0	2
63	ADZU Lizher	Novice	3rd	4th	4th	3rd	2nd	4	737	0	1
64	DYCI Riptide		3rd	2nd	4th	4th	3rd	4	730	0	1
65	UNO	Novice	4th	3rd	4th	2nd	3rd	4	729	0	1
66	ADZU Qties	Novice	—	2nd	3rd	3rd	4th	4	590	0	1
67	ADZU A	Novice	1st	3rd	4th	—	—	4	453	1	0
68	LPD Naomi &amp; Shalom	Novice	3rd	2nd	—	—	3rd	4	446	0	1
69	swing 1		—	1st	—	3rd	—	4	301	1	0
70	ULS CJ	Novice	4th	3rd	2nd	4th	4th	3	741	0	1
71	Sylvie (HAUDC)	Novice	4th	3rd	4th	2nd	—	3	585	0	1
72	FEUM FEU CA	Novice	1st	4th	4th	—	—	3	454	1	0
