
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	brace yourselves, we too developed		2nd	1st	2nd	1st	1st	13	822	3	2
2	TAU A	ESL	1st	1st	1st	3rd	1st	13	818	4	0
3	Belgrade A	ESL	2nd	1st	1st	2nd	2nd	12	812	2	3
4	Sydney B		1st	1st	3rd	1st	2nd	12	811	3	1
5	ANU Hariharan &amp; Druce		2nd	1st	1st	1st	3rd	12	809	3	1
6	UCLA tourney starts at 11pm		2nd	1st	3rd	1st	1st	12	798	3	1
7	Sydney (F)ellas		1st	2nd	2nd	2nd	2nd	11	813	1	4
8	throwing a whole bluefin tuna at m		1st	1st	4th	2nd	1st	11	808	3	1
9	Cambridge AM		2nd	2nd	1st	1st	3rd	11	806	2	2
10	Sydney Brayan and Chaffey		1st	1st	2nd	4th	1st	11	805	3	1
11	Oxford B		2nd	1st	3rd	1st	2nd	11	801	2	2
12	NUS Naomi and Cavan		1st	4th	2nd	1st	1st	11	799	3	1
13	Sydney Pyrrhic Punters		1st	2nd	1st	2nd	4th	10	812	2	2
14	Sydney Kuo and Price		1st	2nd	3rd	3rd	1st	10	797	2	1
15	Sunway had one too many drinks in KLCC	ESL	2nd	2nd	1st	2nd	3rd	10	797	1	3
16	Tokyo A	ESL	1st	3rd	4th	1st	1st	10	792	3	0
17	Melbourne B		2nd	2nd	2nd	2nd	2nd	10	790	0	5
18	Dartmouth daddy press		4th	2nd	1st	1st	2nd	10	789	2	2
19	Ř		2nd	3rd	2nd	2nd	1st	10	786	1	3
20	Sydney A		1st	2nd	3rd	1st	4th	9	807	2	1
21	i am bob (intuition pumped)		3rd	3rd	1st	2nd	2nd	9	805	1	2
22	I am happy I got the underrated In		1st	3rd	3rd	1st	3rd	9	798	2	0
23	Sydney Freeland &amp; Bakker		1st	4th	4th	1st	1st	9	792	3	0
24=	Stanford Sajid &amp; Sourodip		4th	1st	1st	3rd	2nd	9	792	2	1
24=	Stanford Ben Porat &amp; Li		2nd	3rd	1st	1st	4th	9	792	2	1
26	Subway &amp; Domino	ESL	1st	2nd	4th	3rd	1st	9	791	2	1
27	Stanford bunties		2nd	2nd	1st	3rd	3rd	9	784	1	2
28	shut up		3rd	1st	1st	3rd	3rd	9	783	2	0
29	Cambridge MS		2nd	2nd	2nd	4th	1st	9	783	1	3
30	a lawyer and engineer? the collect		2nd	1st	4th	2nd	2nd	9	781	1	3
31	Sydney Ryan and Stone	Novice	1st	3rd	3rd	3rd	1st	9	780	2	0
32	Belgrade TS(C) Bačka Topola	ESL	1st	2nd	2nd	4th	2nd	9	777	1	3
33	NTU Bobina		1st	4th	4th	1st	1st	9	767	3	0
34	Sydney (C)hen &amp; Walsh		2nd	1st	2nd	4th	3rd	8	792	1	2
35	HUFS Cheongju boiz	ESL	2nd	3rd	1st	2nd	4th	8	790	1	2
36	Melbourne C		3rd	4th	2nd	2nd	1st	8	787	1	2
37	Weizmann Dror &amp; Roi	ESL	4th	1st	3rd	2nd	2nd	8	783	1	2
38	HSESP OSCA A	ESL	1st	4th	2nd	4th	1st	8	782	2	1
39	UPLB test run pt. 3	ESL	4th	4th	1st	1st	2nd	8	775	2	1
40	TCD Phil twintAstic		3rd	2nd	2nd	2nd	3rd	8	773	0	3
41	Drexel EA Games		4th	3rd	2nd	2nd	1st	8	772	1	2
42	Harvard m&amp;m	Novice	3rd	1st	1st	3rd	4th	8	768	2	0
43	Ateneo GB		3rd	3rd	2nd	2nd	2nd	8	768	0	3
44	Belgrade E(vo zore evo zore)	ESL	1st	4th	1st	2nd	4th	8	766	2	1
45	tab pleb meets his maker		1st	3rd	3rd	3rd	2nd	8	766	1	1
46	Debate of Thrones	Novice	3rd	1st	4th	1st	3rd	8	743	2	0
47	Duke BC		3rd	1st	4th	1st	4th	7	790	2	0
48	IIT Bombay mahoraga couldn&#x27;t adapt to deez nu	ESL	3rd	2nd	3rd	2nd	3rd	7	786	0	2
49	Ateneo LN		2nd	3rd	2nd	3rd	3rd	7	783	0	2
50	SLS Pune Achilles come down		3rd	1st	4th	4th	1st	7	782	2	0
51	Cambridge ZJ		1st	3rd	2nd	4th	3rd	7	780	1	1
52	VIT CD	ESL	1st	3rd	3rd	3rd	3rd	7	780	1	0
