
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Stanford 2		1st	1st	1st	2nd	1st	20	828	4	1
2	Columbia 1		1st	1st	2nd	1st	3rd	18	818	3	1
3	Harvard 5		2nd	1st	2nd	1st	1st	18	805	3	2
4	Princeton 1		2nd	1st	2nd	1st	2nd	17	815	2	3
5	Berkeley 3		2nd	1st	1st	3rd	1st	17	814	3	1
6	Harvard 6		1st	1st	2nd	3rd	2nd	17	801	2	2
7	Harvard 1		1st	1st	3rd	2nd	3rd	16	808	2	1
8	Princeton 4		1st	1st	1st	4th	4th	15	808	3	0
9	Stanford 3		2nd	1st	1st	4th	2nd	15	795	2	2
10	UCLA 1		1st	2nd	3rd	3rd	1st	15	794	2	1
11	Rochester 1		2nd	2nd	2nd	2nd	1st	15	788	1	4
12	Bates 1		1st	2nd	3rd	1st	4th	14	804	2	1
13	Columbia 2		2nd	2nd	1st	3rd	2nd	14	799	1	3
14	Harvard 3		1st	2nd	4th	1st	3rd	14	798	2	1
15	Harvard 8		1st	2nd	4th	3rd	1st	14	797	2	1
16	Williams 1		1st	2nd	3rd	2nd	3rd	14	785	1	2
17	Claremont 1		3rd	2nd	1st	2nd	1st	14	776	2	2
18	Stanford 1		4th	1st	1st	1st	2nd	14	772	3	1
19	Harvard 2		2nd	3rd	2nd	2nd	1st	13	798	1	3
20	USC 1		1st	3rd	1st	2nd	4th	13	794	2	1
21	Harvard 7		1st	3rd	1st	4th	2nd	13	787	2	1
22	UPenn 1	Novice	4th	1st	1st	1st	3rd	13	786	3	0
23	Princeton 2		4th	2nd	1st	1st	1st	13	780	3	1
24	UW-Madison 1		1st	3rd	3rd	2nd	2nd	13	778	1	2
25	Amherst 1	Novice	2nd	2nd	3rd	1st	4th	12	789	1	2
26	Berkeley 1		3rd	1st	2nd	4th	2nd	12	784	1	2
27	UCLA 2		1st	3rd	2nd	3rd	3rd	12	783	1	1
