
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	USU Kuo and Price		2nd	1st	1st	1st	1st	14	800	4	1
2	UNSW Leslie-Keefe &amp; Stajic		1st	2nd	1st	2nd	1st	13	805	3	2
3	USU Brayan and Chaffey		1st	1st	1st	2nd	2nd	13	793	3	2
4	Auckland Sha-Roomba		1st	1st	2nd	1st	3rd	12	806	3	1
5	Matt CaiTOES??????? 👀👀👀👀👀👀👀		2nd	1st	2nd	1st	2nd	12	798	2	3
6	USU FUGG		1st	1st	1st	4th	1st	12	797	4	0
7	USU B		1st	2nd	1st	3rd	1st	12	784	3	1
8	USU Freeland &amp; Bakker		2nd	2nd	2nd	2nd	1st	11	802	1	4
9	Sunway being deluluman at Diliman		1st	1st	3rd	2nd	2nd	11	799	2	2
10	Melbourne B		1st	2nd	4th	1st	1st	11	792	3	1
11	UPD PURINZ World Domination		1st	1st	4th	2nd	1st	11	790	3	1
12	ADMU GB		1st	1st	2nd	1st	4th	11	788	3	1
13	The reverse of eating		2nd	2nd	1st	2nd	2nd	11	786	1	4
14	Bucharest A		1st	1st	4th	2nd	1st	11	783	3	1
15	HWS Jittery Glittery		2nd	1st	3rd	1st	2nd	11	781	2	2
16	Forced out of Retirement		1st	2nd	1st	3rd	3rd	10	803	2	1
17	Auckland Baylis &amp; O’Malley		2nd	2nd	2nd	1st	3rd	10	792	1	3
18	DLSU maybe flat twist we not expected		3rd	1st	1st	1st	4th	10	786	3	0
19	USU Ryan and Stone		1st	4th	1st	3rd	1st	10	784	3	0
20	Melbourne C		1st	3rd	2nd	1st	3rd	10	783	2	1
21	UPLB test run pt. 2		2nd	3rd	2nd	1st	2nd	10	778	1	3
22	Too tired to debate		3rd	1st	4th	1st	1st	10	775	3	0
23	Auckland Harry and Harper		1st	2nd	3rd	1st	3rd	10	775	2	1
24	DLSU iseeupee		1st	2nd	3rd	2nd	2nd	10	775	1	3
25	NTU C but the supermarket		1st	4th	1st	3rd	1st	10	773	3	0
26=	ADMU TF		1st	3rd	1st	4th	1st	10	772	3	0
26=	4 wins and Kayleb dyes his hair bl	Novice	4th	1st	1st	3rd	1st	10	772	3	0
28	Auckland James Boland		2nd	3rd	2nd	1st	2nd	10	767	1	3
29	UNSW Gibsoy &amp; Chad		1st	3rd	1st	4th	2nd	9	790	2	1
30	NUS DT		2nd	2nd	3rd	1st	3rd	9	782	1	2
31	we were kida rt 2020 adj core		1st	4th	1st	1st	4th	9	777	3	0
32	ADMU SY		1st	2nd	1st	3rd	4th	9	777	2	1
33	Auckland Donohoe &amp; Kaur		1st	1st	3rd	4th	2nd	9	773	2	1
34	SR batman	Schools	2nd	2nd	2nd	4th	1st	9	772	1	3
35	original and almost original		3rd	2nd	1st	4th	1st	9	771	2	1
36	keisian	Novice, Schools	2nd	1st	2nd	3rd	3rd	9	770	1	2
37	ASHS JHEPOY DIZON	Schools	1st	3rd	2nd	4th	1st	9	769	2	1
38	what year did Victoria allow racia		2nd	1st	2nd	2nd	4th	9	769	1	3
39	Sunway Dilly(man)dallying		1st	3rd	2nd	4th	1st	9	768	2	1
40	FEU A		2nd	4th	1st	2nd	2nd	9	762	1	3
41	Swing 1		4th	2nd	2nd	1st	2nd	9	761	1	3
42	dil-DYING		3rd	1st	4th	1st	2nd	9	754	2	1
43	BUCEILS BU ko na magtalk	Novice, Schools	1st	2nd	4th	2nd	2nd	9	752	1	3
44	Swing 5		3rd	2nd	1st	1st	—	9	618	2	1
45	we had a team name??	Novice, Schools	2nd	—	2nd	2nd	1st	9	601	1	3
46	Swing 4		1st	1st	1st	—	—	9	468	3	0
47	DLSU Penise hear us out		1st	3rd	1st	4th	3rd	8	788	2	0
48	UPM Way De Fans pt3		1st	2nd	3rd	3rd	3rd	8	785	1	1
49	HWS ALL HAIL MILEY		3rd	2nd	1st	2nd	4th	8	776	1	2
50	DLSU Olivia Rodrigo Duterte		3rd	1st	3rd	2nd	3rd	8	775	1	1
51	NTU Prime Giant		2nd	1st	4th	3rd	2nd	8	773	1	2
52=	DLSU-SHS live laugh caitvi 5ever	Schools	3rd	1st	3rd	2nd	3rd	8	766	1	1
52=	NTU My dog is Koh Kayboon		2nd	1st	3rd	3rd	3rd	8	766	1	1
54	DLSU Dlsu Muchas gracias afición, esto		4th	2nd	1st	4th	1st	8	765	2	1
55	ICA B	Schools	2nd	3rd	1st	3rd	3rd	8	762	1	1
56	Scout Regiment		4th	2nd	1st	1st	4th	8	760	2	1
57=	MCHS A	Schools	1st	3rd	4th	3rd	1st	8	760	2	0
57=	not mean, just practical	Schools	1st	4th	3rd	3rd	1st	8	760	2	0
59	Divine Feminine	Novice	2nd	3rd	2nd	2nd	3rd	8	759	0	3
60	MSU-GSC The Lewrd is my Sheferdth! I shall	Novice	3rd	3rd	3rd	2nd	1st	8	756	1	1
61	314 x 319	Novice	4th	1st	2nd	1st	4th	8	754	2	1
62	FEU B	Novice	4th	1st	2nd	3rd	2nd	8	753	1	2
63	STBA-PIA RW		4th	4th	1st	2nd	1st	8	752	2	1
64	DLSU-SHS Bayan o Sarili: Pumili ka!	Schools	3rd	4th	2nd	1st	2nd	8	751	1	2
65	DLSU-SHS attack dawgs	Novice	3rd	3rd	3rd	1st	2nd	8	733	1	1
66	Swing 2		1st	3rd	3rd	—	1st	8	613	2	0
67	head empty no tem nem. sorry. our		2nd	2nd	4th	1st	4th	7	775	1	2
68	MCHS D	Schools	2nd	3rd	2nd	3rd	3rd	7	760	0	2
69	SMU Diliman, Let Us In!	Novice	3rd	3rd	3rd	2nd	2nd	7	756	0	2
70	Cishet Atenean Homegrowns		2nd	3rd	2nd	2nd	4th	7	754	0	3
71	PHDS students of professor gab pacaño	Schools	2nd	4th	2nd	3rd	2nd	7	753	0	3
72	DLSU-SHS DU-CKOW!	Schools	2nd	3rd	3rd	2nd	3rd	7	750	0	2
73	ADDU A		2nd	3rd	3rd	4th	1st	7	749	1	1
74	FEU C	Novice	3rd	2nd	4th	3rd	1st	7	746	1	1
75	SLS-Pune Sauce - 177013 (Legends Will Get I	Novice	4th	1st	3rd	1st	4th	7	744	2	0
76	ICA ay icamote		2nd	2nd	4th	3rd	2nd	7	735	0	3
77	MCHS B	Novice	3rd	2nd	3rd	1st	4th	7	732	1	1
78	ICA Jolibre		2nd	4th	4th	1st	2nd	7	731	1	2
79	SBDC - Jizer	Novice, Schools	4th	3rd	2nd	1st	3rd	7	726	1	1
80	ASHS ADMU SHS CL	Novice, Schools	4th	1st	2nd	4th	2nd	7	720	1	2
81	SLS-Pune Chai Sutta OG Combo	Novice	2nd	—	3rd	3rd	1st	7	584	1	1
82	Has-been Institutions		2nd	1st	2nd	—	—	7	467	1	2
83	IIT-B LecaBron needs to see your balls		3rd	4th	1st	3rd	3rd	6	765	1	0
84	PSHS-MC AC(R)	Schools	3rd	1st	4th	2nd	4th	6	760	1	1
85	Potted Fish 2.0		1st	4th	1st	4th	4th	6	759	2	0
86	MUST Ray MUSUp		3rd	4th	2nd	1st	4th	6	748	1	1
87	HCIS Rizzlers	Novice, Schools	3rd	1st	3rd	3rd	4th	6	748	1	0
88	ASHS ADMU SHS TV	Novice, Schools	4th	2nd	4th	1st	3rd	6	747	1	1
89	ASHS ADMU SHS CM	Novice, Schools	1st	4th	3rd	2nd	4th	6	745	1	1
90	We’re not representing THAT shs	Novice	3rd	2nd	2nd	4th	3rd	6	744	0	2
91	ASHS ADMU SHS MP	Novice, Schools	4th	4th	4th	1st	1st	6	732	2	0
92=	ASHS ADMU SHS DH	Novice, Schools	3rd	2nd	4th	4th	1st	6	727	1	1
92=	ASHS ADMU SHS MN	Novice, Schools	1st	4th	4th	2nd	3rd	6	727	1	1
94	ASHS ADMU SHS BV	Novice, Schools	3rd	3rd	4th	1st	3rd	6	725	1	0
95	ASHS ADMU SHS DF	Novice, Schools	4th	3rd	1st	2nd	4th	6	724	1	1
96	ASHS ADMU SHS PR	Novice	3rd	2nd	4th	3rd	2nd	6	723	0	2
97	ASHS ADMU SHS AV	Novice, Schools	4th	3rd	1st	4th	2nd	6	722	1	1
98	SAAD 5	Novice, Schools	4th	4th	3rd	2nd	1st	6	709	1	1
99	ASHS ADMU SHS CN	Schools	4th	1st	4th	1st	—	6	599	2	0
100	Bucharest B		—	1st	1st	—	—	6	304	2	0
101	Ginana	Novice	3rd	3rd	1st	4th	4th	5	756	1	0
102	I just wanna sleep	Novice	4th	2nd	1st	4th	4th	5	744	1	1
103	MCHS C	Novice	4th	1st	3rd	4th	3rd	5	743	1	0
104	MCHS H	Novice, Schools	4th	3rd	2nd	4th	2nd	5	743	0	2
105	MUST kill the one who delay		2nd	1st	4th	4th	4th	5	736	1	1
106	UST SHS TEAM C		2nd	4th	3rd	2nd	4th	5	736	0	2
107=	BUCEILS BUmamin Ka Na	Novice, Schools	2nd	4th	2nd	4th	3rd	5	735	0	2
107=	GNHS KALANAMINDIKAMIREGISTER	Novice, Schools	4th	4th	2nd	3rd	2nd	5	735	0	2
109	UST SHS Group 1	Novice, Schools	4th	4th	3rd	2nd	2nd	5	726	0	2
110	UST SHS TEAM A	Novice, Schools	3rd	4th	3rd	2nd	3rd	5	720	0	1
111	BUCEILS Heart of Cleves	Novice, Schools	4th	2nd	3rd	4th	2nd	5	712	0	2
112	CUHK TR	Novice	4th	2nd	4th	—	1st	5	595	1	1
113	UST SHS TEAM J	Novice, Schools	4th	3rd	2nd	2nd	—	5	595	0	2
114	SMU Team Cinnamoroll	Novice	4th	2nd	—	1st	4th	5	587	1	1
115	UST SHS Team G	Novice, Schools	—	3rd	2nd	3rd	3rd	5	583	0	1
116	UST SHS Team L	Novice, Schools	3rd	4th	1st	3rd	—	5	582	1	0
117	UST SHS Team N	Schools	—	3rd	1st	3rd	—	5	423	1	0
118	UST SHS TEAM P	Novice, Schools	3rd	4th	4th	2nd	3rd	4	730	0	1
119	Jaden &amp; Sydney	Novice, Schools	4th	2nd	4th	2nd	4th	4	726	0	2
120	MCHS G	Novice, Schools	2nd	3rd	4th	3rd	4th	4	726	0	1
121	LL		4th	3rd	4th	4th	1st	4	725	1	0
122	ASHS ADMU SHS AO	Novice, Schools	4th	1st	4th	4th	3rd	4	721	1	0
123	UST SHS Team O	Novice, Schools	3rd	—	2nd	4th	3rd	4	590	0	1
124	MCHS F	Novice, Schools	3rd	—	4th	3rd	2nd	4	581	0	1
125	Swing 3		1st	4th	3rd	—	—	4	450	1	0
126	UPM Upm B	Novice	—	4th	2nd	2nd	—	4	443	0	2
127	UST SHS Graham Spheres	Novice, Schools	4th	3rd	3rd	4th	3rd	3	727	0	0
128	GONZIE	Novice	2nd	4th	4th	3rd	4th	3	726	0	1
129=	UST SHS Team I	Novice	3rd	4th	3rd	4th	3rd	3	716	0	0
129=	UST SHS TEAM M	Novice, Schools	3rd	3rd	3rd	4th	4th	3	716	0	0
131	ASHS ADMU SHS DG	Novice, Schools	3rd	4th	4th	4th	2nd	3	707	0	1
132	SAAD 2	Novice, Schools	4th	3rd	3rd	3rd	4th	3	691	0	0
133	PSHS-MC Mickey mouses sicrit debate club	Novice, Schools	—	2nd	4th	3rd	4th	3	584	0	1
134	UST SHS Alexine	Novice	3rd	4th	—	4th	2nd	3	561	0	1
135	UST SHS Team B	Novice, Schools	3rd	3rd	4th	4th	—	2	565	0	0
136	PSHS-MC Netbusters	Novice, Schools	4th	4th	3rd	—	3rd	2	558	0	0
137	Never Give Up		3rd	—	—	3rd	4th	2	434	0	0
138	MCHS I	Schools	2nd	4th	—	4th	—	2	427	0	1
139	SAAD 3	Novice, Schools	4th	4th	—	3rd	4th	1	555	0	0
140	PSHS-MC Bada Lee Lovers	Novice, Schools	4th	4th	4th	—	4th	0	575	0	0
141	UST SHS TEAM D	Novice, Schools	4th	4th	4th	—	—	0	410	0	0
142=	ICA metal detector and shovel		—	—	—	—	—	—	—	0	0
142=	We need some rest		—	—	—	—	—	—	—	0	0
142=	we&#x27;re not representing THAT shs		—	—	—	—	—	—	—	0	0


Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
1	Sharuka Wikramanayake		Auckland Sha-Roomba	80	81	81	84	79	405	81.00	1.67
2=	Isabella Freeland		USU Freeland &amp; Bakker	83	80	77	80	83	403	80.60	2.24
2=	Conna Leslie-Keefe		UNSW Leslie-Keefe &amp; Stajic	80	78	82	80	83	403	80.60	1.74
4=	Sreyan Kanungo		Forced out of Retirement	79	79	82	81	81	402	80.40	1.20
4=	Branko Stajic		UNSW Leslie-Keefe &amp; Stajic	79	79	81	80	83	402	80.40	1.50
4=	Shireen Ali		Sunway being deluluman at Diliman	82	79	80	81	80	402	80.40	1.02
7=	Eli Pallrand		Matt CaiTOES??????? 👀👀👀👀👀👀👀	77	79	81	81	83	401	80.20	2.04
7=	Asif Mehedi Adi		Forced out of Retirement	80	79	81	81	80	401	80.20	0.75
9=	William Price		USU Kuo and Price	79	81	79	81	80	400	80.00	0.89
9=	Katarina Kuo		USU Kuo and Price	79	81	78	81	81	400	80.00	1.26
11=	Sam Trotter		USU FUGG	79	79	82	77	82	399	79.80	1.94
11=	Eugene Bakker		USU Freeland &amp; Bakker	83	78	78	78	82	399	79.80	2.23
13	Benjamin Diskin		USU FUGG	79	79	82	77	81	398	79.60	1.74
14=	Nicola Brayan		USU Brayan and Chaffey	80	80	78	79	80	397	79.40	0.80
14=	Raymond Kimura		Sunway being deluluman at Diliman	80	78	79	81	79	397	79.40	1.02
14=	Luis Garcia		UPD PURINZ World Domination	82	80	78	79	78	397	79.40	1.50
14=	Jessica Musulin		Matt CaiTOES??????? 👀👀👀👀👀👀👀	77	78	80	80	82	397	79.40	1.74
18=	Kyle Go		ADMU GB	79	81	78	79	79	396	79.20	0.98
18=	Aisha O&#x27;Malley		Auckland Baylis &amp; O’Malley	79	79	78	81	79	396	79.20	0.98
18=	Oscar Chaffey		USU Brayan and Chaffey	80	79	79	78	80	396	79.20	0.75
21=	Jordyn Gibson		UNSW Gibsoy &amp; Chad	84	76	81	77	77	395	79.00	3.03
21=	Olivia Whyte		Melbourne B	80	79	79	77	80	395	79.00	1.10
21=	Jacky Chai		UNSW Gibsoy &amp; Chad	83	77	80	78	77	395	79.00	2.28
21=	Kimberly Lopez		DLSU Penise hear us out	81	78	79	80	77	395	79.00	1.41
25=	Daniel Christopher Haduca		DLSU maybe flat twist we not expected	77	79	78	82	78	394	78.80	1.72
25=	Kotaro Yoshida		The reverse of eating	77	77	80	82	78	394	78.80	1.94
27=	Tiffany Kuo		DLSU Penise hear us out	80	78	78	80	77	393	78.60	1.20
27=	Jaime Miguel L. Castro		UPD PURINZ World Domination	80	78	78	80	77	393	78.60	1.20
27=	Theo Jan Isaac		UPM Way De Fans pt3	80	79	79	78	77	393	78.60	1.02
27=	Charlie Ryan		USU B	77	78	79	79	80	393	78.60	1.02
27=	William Ryan		USU Ryan and Stone	78	77	80	78	80	393	78.60	1.20
32=	Ram Julius Marababol		UPM Way De Fans pt3	78	79	79	80	76	392	78.40	1.36
32=	Ricky Jin		The reverse of eating	76	78	79	81	78	392	78.40	1.62
32=	Kayla Powers		HWS Jittery Glittery	77	80	76	79	80	392	78.40	1.62
32=	Lorine David		DLSU maybe flat twist we not expected	76	79	78	81	78	392	78.40	1.62
32=	Ana Coman		Bucharest A	78	80	76	77	81	392	78.40	1.85
32=	David Bejarin		ADMU GB	78	80	77	79	78	392	78.40	1.02
32=	Rdu Dillon		NUS DT	80	78	77	79	78	392	78.40	1.02
39=	Valeriu Carasel		Bucharest A	77	80	76	78	80	391	78.20	1.60
39=	Arwyn Stone		USU Ryan and Stone	77	76	80	77	81	391	78.20	1.94
39=	Matthew Toomey		USU B	77	78	78	79	79	391	78.20	0.75
42=	Sunghyun Park		we were kida rt 2020 adj core	77	78	78	80	77	390	78.00	1.10
42=	Lamia Nur		HWS ALL HAIL MILEY	76	79	79	78	78	390	78.00	1.10
42=	Lia Denise Tan		UPLB test run pt. 2	79	77	77	78	79	390	78.00	0.89
45=	Daniela Jacinto		DLSU iseeupee	78	77	78	79	77	389	77.80	0.75
45=	Harper Smith		Auckland Harry and Harper	77	76	80	79	77	389	77.80	1.47
45=	Alyssa Salazar		ADMU SY	77	78	80	78	76	389	77.80	1.33
45=	Pio Ventura		head empty no tem nem. sorry. our	81	76	78	78	76	389	77.80	1.83
45=	Fairooj Rushmila Suhita		HWS Jittery Glittery	76	80	76	78	79	389	77.80	1.60
50=	Samuel Tango	Schools	ASHS JHEPOY DIZON	74	78	79	78	79	388	77.60	1.85
50=	Therese Genota		DLSU Olivia Rodrigo Duterte	77	79	77	77	78	388	77.60	0.80
50=	Kayleb Tong	Novice	4 wins and Kayleb dyes his hair bl	78	79	76	77	78	388	77.60	1.02
50=	Jenny Li		Too tired to debate	77	79	75	78	79	388	77.60	1.50
50=	Ben Nadzmier Bensali		UPLB test run pt. 2	77	77	78	78	78	388	77.60	0.49
50=	Soh Kay Boon		NTU Prime Giant	77	81	76	76	78	388	77.60	1.85
50=	Alexandra Ypil		ADMU SY	78	77	80	77	76	388	77.60	1.36
57=	Jaedong Jeong		we were kida rt 2020 adj core	76	76	78	81	76	387	77.40	1.96
57=	Xanthipi Pontejos		DLSU Olivia Rodrigo Duterte	77	79	77	76	78	387	77.40	1.02
57=	Sharleen Goh		NTU C but the supermarket	78	75	78	78	78	387	77.40	1.20
57=	Mateo Acosta Fernandez		Too tired to debate	77	77	76	78	79	387	77.40	1.02
57=	Clarisse Tan		ADMU TF	78	78	77	76	78	387	77.40	0.80
62=	Jasmin Ang	Schools	head empty no tem nem. sorry. our	79	75	77	79	76	386	77.20	1.60
62=	Jacob Ty	Schools	SR batman	77	74	80	76	79	386	77.20	2.14
62=	Geoff Biscocho	Schools	SR batman	76	76	79	76	79	386	77.20	1.47
62=	Wayne Lim		NTU My dog is Koh Kayboon	77	77	77	77	78	386	77.20	0.40
62=	Harry Aickin		Auckland Harry and Harper	76	75	80	78	77	386	77.20	1.72
62=	Chaewon Kim	Novice	NTU C but the supermarket	78	75	77	78	78	386	77.20	1.17
62=	Yael Inventor		DLSU iseeupee	78	77	77	78	76	386	77.20	0.75
