
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Tin couldn&#x27;t use Lovro so he got a	ESL	1st	1st	1st	2nd	1st	14	833	4	1
2	My favourite childhood memmory is		1st	1st	1st	1st	2nd	14	753	4	1
3	Dva Srbina	ESL	1st	1st	3rd	2nd	1st	12	813	3	1
4	Imperial A		1st	3rd	1st	2nd	1st	12	806	3	1
5	smol &amp; tol		1st	1st	2nd	3rd	2nd	11	820	2	2
6	Ateneo AV		1st	1st	2nd	4th	1st	11	818	3	1
7	TNT		1st	2nd	2nd	1st	3rd	11	818	2	2
8	Vienna KM		1st	2nd	1st	3rd	2nd	11	806	2	2
9	KNUST Andy and Erasmus Kwame Nkrumah B	ESL	2nd	1st	3rd	2nd	1st	11	801	2	2
10	Epistemic Access Issues		3rd	1st	1st	1st	4th	10	807	3	0
11	Zi Qiang Bu Xi		1st	2nd	2nd	4th	1st	10	804	2	2
12	Trust the process		2nd	1st	3rd	3rd	1st	10	800	2	1
13	Zagreb P&amp;P	ESL	1st	3rd	2nd	2nd	2nd	10	798	1	3
14	Everyday Yusuf strays further from		1st	4th	1st	1st	3rd	10	786	3	0
15	HUJI Debate Matzochists		4th	1st	1st	1st	3rd	10	782	3	0
16	Sciences Po B [🐝] a.k.a. Urtis	ESL	2nd	4th	2nd	1st	1st	10	782	2	2
17	TCD Hist Another Day Another Weigh		2nd	2nd	3rd	1st	2nd	10	772	1	3
18	UWODS The New Areopagus		1st	3rd	1st	1st	4th	10	708	3	0
19	Harvard Cambridge IV 2018 QF 1:00:48		1st	3rd	1st	2nd	4th	9	794	2	1
20=	Vienna Eurasian Taxation Evasion Foundati		3rd	1st	1st	4th	2nd	9	786	2	1
20=	CUHK D	ESL	4th	1st	2nd	1st	3rd	9	786	2	1
22	Bucharest A	ESL	2nd	2nd	2nd	3rd	2nd	9	786	0	4
23	DAV troops for hire	ESL	2nd	3rd	3rd	2nd	1st	9	777	1	2
24	Ghana A (Fattaw &amp; Elisha)	ESL	4th	2nd	3rd	1st	1st	9	759	2	1
25	CUHK-Shenzhen Dancing with rain	ESL	4th	2nd	3rd	1st	1st	9	758	2	1
26	Trivium Extension 🤝 Equity Announcement	ESL	1st	2nd	4th	1st	4th	8	793	2	1
27	Harvard Mattiti and Jennatals		1st	4th	1st	3rd	3rd	8	789	2	0
28	Oxford Meta this meta that have you ever		2nd	1st	3rd	4th	2nd	8	788	1	2
29	Hart House BanTan Media &amp; Campaigning Agency		1st	4th	2nd	2nd	3rd	8	786	1	2
30	JHU manipulator(s)		3rd	1st	3rd	3rd	2nd	8	786	1	1
31	Warwick JD		2nd	1st	4th	2nd	3rd	8	778	1	2
32	Cambridge we&#x27;re sorry		2nd	1st	4th	4th	1st	8	777	2	1
33	Zagreb Tittytum	ESL, Novice	3rd	2nd	2nd	2nd	3rd	8	776	0	3
34	Everyone loves DP	Novice	1st	2nd	4th	4th	1st	8	775	2	1
35	Haifa A &amp; T	ESL	3rd	4th	1st	3rd	1st	8	773	2	0
36	Sheffield THE FEARLESS FLYERS		3rd	1st	3rd	1st	4th	8	769	2	0
37	Spikey Ball	Novice	1st	4th	3rd	2nd	2nd	8	768	1	2
38	Belgrade coming out of the refrigerator	ESL, Novice	2nd	4th	2nd	3rd	1st	8	765	1	2
39	Zagreb Tba ZG	ESL	1st	3rd	4th	1st	4th	7	771	2	0
40	Fun Dinos at the Bin just vibing		2nd	3rd	2nd	3rd	3rd	7	771	0	2
41	Technion K&amp;W	ESL	2nd	2nd	2nd	4th	3rd	7	766	0	3
42=	Harvard rachel and nir :)	Novice	4th	1st	3rd	3rd	2nd	7	765	1	1
42=	Warwick Lacks Creativity		3rd	1st	4th	3rd	2nd	7	765	1	1
44	Sheffield DRMC 01 PTSD	ESL, Novice	4th	4th	1st	3rd	1st	7	762	2	0
45	Barfi &amp; Gulab Jamun		3rd	3rd	2nd	4th	1st	7	759	1	1
46	Fusion Sushi Enthusiasts	Novice	2nd	4th	4th	1st	2nd	7	758	1	2
47=	Hart House HH #1 Econ Students		2nd	3rd	3rd	1st	4th	7	757	1	1
47=	Zurich In pursuit of dispute	Novice	2nd	3rd	1st	3rd	4th	7	757	1	1
49	Swing A		—	—	1st	1st	3rd	7	318	2	0
50	Tokyo Garden Dog		3rd	2nd	1st	4th	4th	6	771	1	1
51	Imperial Eren Jäger needs to meet equity of		3rd	4th	1st	2nd	4th	6	758	1	1
52	HUJI A&amp;M	ESL	4th	2nd	1st	3rd	4th	6	757	1	1
53	NJU struggling to get out of bed	ESL	1st	4th	4th	2nd	3rd	6	755	1	1
54	CUHK-Shenzhen Tough Love	ESL	3rd	3rd	4th	2nd	2nd	6	755	0	2
55	Ramias Anything	ESL, Novice	3rd	2nd	4th	2nd	3rd	6	752	0	2
56	Belgrade mother goddesses	ESL	3rd	2nd	4th	3rd	2nd	6	748	0	2
57	Ramias Ice cream addicts	ESL, Novice	4th	4th	1st	4th	1st	6	736	2	0
58	Ramias Destructive Constructives	ESL, Novice	4th	1st	4th	2nd	3rd	6	736	1	1
59	USMA Limon Suo and Riego Dubio	ESL	2nd	4th	2nd	2nd	—	6	598	0	3
60	Swing B		—	—	—	1st	1st	6	158	2	0
61	NLUO 21 guns	ESL	3rd	2nd	2nd	4th	4th	5	762	0	2
62	Haifa Don&#x27;t believe the hype	ESL	2nd	2nd	4th	3rd	4th	5	758	0	2
63	Oxford TA	Novice	3rd	3rd	3rd	4th	2nd	5	753	0	1
64	MUST B	ESL	2nd	3rd	3rd	4th	3rd	5	749	0	1
65	CUHK-Shenzhen ENTJ-A	Novice	4th	2nd	3rd	2nd	4th	5	747	0	2
66	Eat pasta Debate fasta		4th	1st	3rd	4th	3rd	5	745	1	0
67	St. Andrews OA (we promise we&#x27;re listening)	Novice	4th	3rd	4th	1st	3rd	5	737	1	0
68	Sciences Po Z	Novice	2nd	4th	4th	1st	—	5	606	1	1
69	IHU EandM	ESL	3rd	4th	4th	2nd	2nd	5	599	0	2
70	CUHK-Shenzhen D	ESL	2nd	2nd	4th	4th	4th	4	748	0	2
71	CUHK-Shenzhen Gay Bar Queens	ESL	4th	3rd	2nd	3rd	4th	4	746	0	1
72	Pudding Gelado	ESL	4th	3rd	3rd	4th	2nd	4	744	0	1
73	Ramias Rajma Chawal	ESL, Novice	4th	4th	2nd	3rd	3rd	4	738	0	1
74	ZISU DANA	ESL, Novice	4th	3rd	2nd	4th	3rd	4	730	0	1
75	SDUL That’s Irrel🐘	ESL	3rd	3rd	4th	4th	2nd	4	665	0	1
76	Sciences Po Schrödinger&#x27;s Chad	ESL, Novice	3rd	3rd	4th	2nd	—	4	592	0	1
77	St. Andrews Hegel x La Roux = Ultimate Synthes		4th	3rd	1st	—	—	4	303	1	0
78	MUST Emilsabel	Novice	3rd	4th	3rd	3rd	4th	3	737	0	0
79	Sheffield Anglo-American dream team	Novice	3rd	4th	2nd	4th	4th	3	725	0	1
80	Swing C		—	—	—	—	1st	3	75	1	0
81	AAAB	ESL	4th	4th	3rd	4th	3rd	2	725	0	0
82	KCL Arriba	Novice	4th	2nd	—	—	—	2	302	0	1
83	Swing E		—	—	—	—	2nd	2	159	0	1
84	IHU A	ESL, Novice	4th	4th	4th	3rd	4th	1	650	0	0
85	Swing D		—	—	—	—	4th	0	71	0	0
86=	CUHK-Shenzhen Bean Sprout		—	—	—	—	—	—	—	0	0
86=	TCD Hist MJ		—	—	—	—	—	—	—	0	0
86=	St. Andrews Sill waiting for some consistency.		—	—	—	—	—	—	—	0	0
86=	Composite AA	ESL	—	—	—	—	—	—	—	0	0
86=	Registered off NA SPAR		—	—	—	—	—	—	—	0	0


Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
1	Enting Lee		My favourite childhood memmory is	83	83	84	85	84	419	83.80	0.75
2	Tin Puljić	ESL	Tin couldn&#x27;t use Lovro so he got a	82	83	82	84	86	417	83.40	1.50
3	Hadar Goldberg	ESL	Tin couldn&#x27;t use Lovro so he got a	83	82	83	85	83	416	83.20	0.98
4	Naomi Panovka		smol &amp; tol	82	82	83	85	81	413	82.60	1.36
5	Taha Iqbal		TNT	82	82	80	85	83	412	82.40	1.62
6	David Africa		Ateneo AV	84	83	79	81	83	410	82.00	1.79
7=	Mikko Vitug		Ateneo AV	83	81	81	81	82	408	81.60	0.80
7=	Marta Vasić	ESL	Dva Srbina	83	82	80	80	83	408	81.60	1.36
9	Emery Taylor		smol &amp; tol	81	81	82	83	80	407	81.40	1.02
10	Taha Kaihan Masud		TNT	81	80	80	83	82	406	81.20	1.17
11=	Alek Selveliev	ESL	Dva Srbina	81	82	79	81	82	405	81.00	1.10
11=	Lucy Murphy		Epistemic Access Issues	80	83	81	82	79	405	81.00	1.41
13=	Katharina Margareta Jansen		Vienna KM	82	81	80	80	80	403	80.60	0.80
13=	Miri Muntean	ESL	Vienna KM	81	81	81	79	81	403	80.60	0.80
13=	Petar Žnidar	ESL	Zagreb P&amp;P	80	80	79	82	82	403	80.60	1.20
13=	Chris Mentis Cravaris	ESL	Imperial A	81	79	80	81	82	403	80.60	1.02
13=	Ivan Kapelyukh		Imperial A	81	80	81	80	81	403	80.60	0.49
13=	Shaun Lee		Zi Qiang Bu Xi	82	81	79	79	82	403	80.60	1.36
19=	Olja Bošnjak	ESL	Epistemic Access Issues	80	81	80	80	81	402	80.40	0.49
19=	Zarina Bell-Gam		Trust the process	79	81	79	80	83	402	80.40	1.50
21=	Erasmus Mawuli Segbefia	ESL	KNUST Andy and Erasmus Kwame Nkrumah B	82	80	79	77	83	401	80.20	2.14
21=	Goh Han Yang		Zi Qiang Bu Xi	81	82	79	78	81	401	80.20	1.47
23	Terkpertey Andrews Terku	ESL	KNUST Andy and Erasmus Kwame Nkrumah B	82	80	78	78	82	400	80.00	1.79
24	Robert Raos	ESL	Trivium Extension 🤝 Equity Announcement	79	82	76	85	77	399	79.80	3.31
25=	Ryan Lafferty		Harvard Cambridge IV 2018 QF 1:00:48	79	79	81	82	77	398	79.60	1.74
25=	Rachel Tait		Trust the process	79	80	78	79	82	398	79.60	1.36
27=	Mukhtar Tashkenbayev	ESL	Vienna Eurasian Taxation Evasion Foundati	79	79	81	76	82	397	79.40	2.06
27=	Nathaniel Yoon		JHU manipulator(s)	77	81	79	78	82	397	79.40	1.85
27=	Matti Tan		Harvard Mattiti and Jennatals	81	76	79	81	80	397	79.40	1.85
30	Matt Mauriello		Harvard Cambridge IV 2018 QF 1:00:48	79	77	81	82	77	396	79.20	2.04
31=	Patricija Ceovic	ESL, Novice	Zagreb P&amp;P	79	79	78	79	80	395	79.00	0.63
31=	Ricky Huang	ESL	Oxford Meta this meta that have you ever	79	81	78	80	77	395	79.00	1.41
31=	Yusuf Steel		Everyday Yusuf strays further from	78	78	80	79	80	395	79.00	0.89
34=	Martin Horák	ESL	Trivium Extension 🤝 Equity Announcement	79	80	75	84	76	394	78.80	3.19
34=	Tanvir Shahriar		Hart House BanTan Media &amp; Campaigning Agency	79	78	80	82	75	394	78.80	2.32
34=	Valeriu Carasel	ESL	Bucharest A	78	79	79	81	77	394	78.80	1.33
37=	Rachel Homnick		HUJI Debate Matzochists	76	78	78	82	79	393	78.60	1.96
