
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Apply to join our hedge fund		2nd	2nd	1st	1st	1st	13	821	3	2
2	Harish and Matt		1st	1st	1st	3rd	2nd	12	832	3	1
3	one worlds win and the dickhead’s g		1st	3rd	1st	2nd	1st	12	826	3	1
4	Princeton/McGill LR		1st	1st	2nd	1st	3rd	12	821	3	1
5	drink on us for guessing who debate		1st	1st	3rd	1st	2nd	12	812	3	1
6	UCD L&amp;H here to w(A)lk that fucking		2nd	2nd	2nd	1st	1st	12	794	2	3
7	We came here to end racism and win 		1st	1st	1st	2nd	4th	11	836	3	1
8	Not to victim blame, but Lucy deser		1st	2nd	1st	4th	1st	11	827	3	1
9	In Russia, death and sex are the sa		1st	1st	4th	1st	2nd	11	804	3	1
10	Dr Strangelove or How I Learned to		2nd	2nd	1st	3rd	1st	11	798	2	2
11	Avanti Ragazzi di Buda	ESL	2nd	2nd	1st	4th	1st	10	825	2	2
12	Asian John and White Yoko		2nd	1st	2nd	2nd	3rd	10	818	1	3
13	wooooo!!! debating!!!!! Let’s go!!!		2nd	3rd	1st	2nd	2nd	10	806	1	3
14	Ninja Pagongs		1st	4th	2nd	2nd	1st	10	800	2	2
15	UCL (A)lternate Timeline		1st	2nd	2nd	3rd	2nd	10	798	1	3
16	Extending into your mum&#x27;s dms		1st	3rd	2nd	2nd	2nd	10	796	1	3
17	The Hat Men		2nd	2nd	3rd	2nd	1st	10	788	1	3
18	Harish if he was young, poor and ha	ESL	3rd	1st	2nd	1st	4th	9	810	2	1
19	Challenging Universal Notions Towar		2nd	1st	4th	1st	3rd	9	805	2	1
20	Burning trashfire	ESL	1st	4th	2nd	3rd	1st	9	800	2	1
21	Shaq&amp;Tom		2nd	3rd	1st	1st	4th	9	789	2	1
22	Both Hiding English Accents		1st	2nd	3rd	2nd	3rd	9	789	1	2
23	Harvard A		2nd	4th	1st	3rd	1st	9	788	2	1
24	KCL Aber one of us is from austin, 		3rd	1st	4th	2nd	1st	9	782	2	1
25	BDU arm aber sexy		4th	1st	2nd	1st	3rd	9	776	2	1
26	Imperial lists		3rd	2nd	2nd	2nd	2nd	9	775	0	4
27	brown and down to clown(frown)		2nd	3rd	2nd	3rd	1st	9	773	1	2
28	Imperial This comp needs a ChatGPT 		3rd	1st	4th	1st	2nd	9	769	2	1
29	Parth Pandya&#x27;s Peter Parker Partner		1st	2nd	4th	1st	4th	8	816	2	1
30	Hooting and Hollering until the Cha		1st	3rd	2nd	4th	2nd	8	804	1	2
31	ETH Zürich DT		2nd	1st	2nd	4th	3rd	8	802	1	2
32	Fax don&#x27;t care about your fealty		1st	3rd	1st	3rd	4th	8	801	2	0
33	Athens A	ESL	2nd	1st	3rd	4th	2nd	8	793	1	2
34	will make you scream harder than ho		1st	4th	3rd	1st	3rd	8	786	2	0
35	Oxford B	Novice	1st	4th	1st	3rd	3rd	8	782	2	0
36	Wantaaage peeps		4th	1st	4th	1st	2nd	8	768	2	1
37	14 more minutes of crying, 14 more 		2nd	4th	1st	4th	1st	8	766	2	1
38	Got Fucked Over By White Men	Novice	3rd	3rd	1st	3rd	2nd	8	766	1	1
39	mickey smells 💩	Novice	2nd	3rd	3rd	3rd	1st	8	751	1	1
40	Durham Barbie and Kendrick		—	2nd	3rd	2nd	1st	8	616	1	2
41	Balkan Girls	ESL	3rd	1st	4th	2nd	3rd	7	791	1	1
42	Oxford AP		1st	2nd	3rd	4th	3rd	7	788	1	1
43	Tartu A	ESL	3rd	4th	1st	2nd	3rd	7	769	1	1
44	W = mc²	ESL	2nd	3rd	3rd	2nd	3rd	7	769	0	2
45	Cambridge Swift	Novice	3rd	2nd	1st	3rd	4th	7	767	1	1
46	Wondering what seriousposting disco		3rd	1st	3rd	2nd	4th	7	763	1	1
47	UCD L&amp;H Queens recolonising Ireland		3rd	4th	1st	1st	4th	7	759	2	0
48	Lucky Crickets	Novice	4th	2nd	3rd	3rd	1st	7	757	1	1
49	Feta Zubrowka	ESL	4th	1st	4th	3rd	1st	7	752	2	0
50	Unfunny Team Name	Novice	2nd	4th	2nd	4th	1st	7	731	1	2
51	The FT		3rd	4th	2nd	2nd	2nd	7	731	0	3
52	EXEtremely nerdy politics students		3rd	2nd	4th	1st	4th	6	766	1	1
53	UoL Harry Potter and the boy who co		3rd	1st	3rd	4th	3rd	6	763	1	0
