
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Princeton/Chicago XD		1st	1st	2nd	1st	1st	14	826	4	1
2	Independent LX		1st	2nd	1st	2nd	1st	13	820	3	2
3	Harvard GF		1st	1st	2nd	1st	2nd	13	811	3	2
4	Stanford BD		1st	1st	3rd	2nd	1st	12	800	3	1
5	Harvard CS		4th	1st	1st	1st	2nd	11	802	3	1
6	Independent KW		2nd	1st	1st	2nd	3rd	11	800	2	2
7	Independent AW		1st	2nd	2nd	1st	3rd	11	791	2	2
8	Hart House CE		2nd	1st	3rd	2nd	1st	11	789	2	2
9	UBC AM		2nd	1st	1st	3rd	2nd	11	786	2	2
10	Independent SR		2nd	2nd	2nd	2nd	1st	11	783	1	4
11	Princeton/JHU KW		1st	3rd	3rd	1st	1st	11	782	3	0
12	Independent BJ		1st	3rd	1st	1st	4th	10	808	3	0
13	QCER CM		1st	2nd	1st	4th	2nd	10	793	2	2
14	Stanford CT		1st	1st	3rd	4th	1st	10	789	3	0
15	Southern AB		1st	3rd	3rd	2nd	1st	10	787	2	1
16	Rochester IN		1st	4th	2nd	2nd	1st	10	781	2	2
17	Harvard GL		3rd	1st	1st	3rd	2nd	10	778	2	1
18	Hart House CD		2nd	1st	4th	1st	2nd	10	772	2	2
19	McGill LT	Novice	3rd	3rd	1st	2nd	1st	10	769	2	1
20	Hart House ES		4th	1st	1st	1st	3rd	10	764	3	0
21	Stanford BF		2nd	1st	2nd	3rd	3rd	9	786	1	2
22	Waterloo PZ		1st	1st	4th	1st	4th	9	785	3	0
23	Hart House AC		1st	2nd	3rd	3rd	2nd	9	782	1	2
24	Harvard GV	Novice	3rd	2nd	4th	1st	1st	9	776	2	1
25	Independent ZM		3rd	4th	2nd	1st	1st	9	769	2	1
26	UBC WY		2nd	2nd	2nd	2nd	3rd	9	767	0	4
27	Queen&#x27;s/CUDS GG		2nd	4th	2nd	1st	2nd	9	761	1	3
28	Queen&#x27;s FN	Novice	2nd	3rd	1st	3rd	2nd	9	757	1	2
29	Miami KR		3rd	3rd	1st	3rd	1st	9	749	2	0
30	Hart House AA		2nd	4th	1st	1st	4th	8	783	2	1
31	Independent QZ		3rd	1st	1st	4th	3rd	8	776	2	0
32	Western SS		1st	3rd	4th	3rd	1st	8	775	2	0
33	Carleton VR		2nd	2nd	4th	1st	3rd	8	775	1	2
34	EDS KO		1st	2nd	3rd	2nd	4th	8	773	1	2
35	McGill PW	Novice	1st	4th	1st	4th	2nd	8	771	2	1
36	Hart House GK	Novice	3rd	4th	2nd	2nd	1st	8	769	1	2
37	Waterloo CZ		3rd	3rd	1st	2nd	3rd	8	768	1	1
38	UBC JL		2nd	4th	2nd	2nd	2nd	8	766	0	4
39	UCLA HC		3rd	1st	4th	1st	3rd	8	765	2	0
40	EDS FI		1st	3rd	3rd	1st	4th	8	763	2	0
41	Hart House YY	Novice	3rd	2nd	2nd	4th	1st	8	755	1	2
42	Cornell SY		4th	1st	3rd	2nd	2nd	8	754	1	2
43	Stanford BL		3rd	2nd	3rd	2nd	3rd	7	790	0	2
44	Independent MM		1st	3rd	4th	1st	4th	7	782	2	0
45	Waterloo BS		1st	2nd	4th	3rd	3rd	7	766	1	1
46	Claremont SS		2nd	3rd	4th	1st	3rd	7	765	1	1
47	Cornell OM		1st	4th	4th	3rd	1st	7	755	2	0
