
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Cambridge C		1st	1st	2nd	2nd	1st	13	814	3	2
2=	OUI A	ESL	1st	2nd	1st	3rd	1st	12	826	3	1
2=	Stanford B		1st	1st	1st	2nd	3rd	12	826	3	1
4	Dartmouth A		1st	1st	3rd	1st	2nd	12	806	3	1
5	LSE A		3rd	1st	2nd	1st	1st	12	800	3	1
6	PDP A		2nd	1st	2nd	1st	2nd	12	800	2	3
7	Aberystwyth A		1st	2nd	1st	3rd	1st	12	794	3	1
8	Harvard A		1st	1st	2nd	1st	4th	11	817	3	1
9	Edinburgh C		1st	2nd	4th	1st	1st	11	800	3	1
10	Bates A		1st	2nd	1st	4th	1st	11	799	3	1
11	UCD L&amp;H A		2nd	2nd	1st	2nd	2nd	11	794	1	4
12	KCL B		2nd	1st	2nd	3rd	1st	11	793	2	2
13	TCD Hist A		3rd	1st	1st	1st	3rd	11	786	3	0
14	Manchester A		1st	2nd	3rd	1st	3rd	10	813	2	1
15	Copenhagen A	ESL	1st	3rd	1st	2nd	3rd	10	803	2	1
16=	PDP C		2nd	1st	4th	2nd	1st	10	795	2	2
16=	PDP D		2nd	4th	1st	1st	2nd	10	795	2	2
18	GUU A		2nd	1st	2nd	1st	4th	10	794	2	2
19	Stanford C		3rd	1st	2nd	2nd	2nd	10	789	1	3
20	Athens A	ESL	3rd	2nd	2nd	2nd	1st	10	788	1	3
21	KCL A		3rd	1st	2nd	3rd	1st	10	784	2	1
22	GUU B		2nd	2nd	3rd	1st	2nd	10	779	1	3
23	Harvard D		1st	3rd	3rd	2nd	1st	10	778	2	1
24	UCL B		4th	1st	2nd	1st	2nd	10	768	2	2
25	Imperial A		1st	3rd	1st	2nd	4th	9	802	2	1
26	Manchester B		2nd	1st	3rd	3rd	2nd	9	800	1	2
27	Cambridge A		2nd	3rd	2nd	3rd	1st	9	798	1	2
28	Tartu A	ESL	1st	1st	4th	2nd	3rd	9	797	2	1
29	Stanford A		4th	1st	1st	1st	4th	9	793	3	0
30	Edinburgh B		2nd	3rd	1st	3rd	2nd	9	788	1	2
31	PDP E		1st	2nd	3rd	4th	1st	9	782	2	1
32	Bristol A		2nd	2nd	2nd	2nd	3rd	9	782	0	4
33	Belgrade A	ESL	1st	4th	1st	4th	1st	9	781	3	0
34	Yale A		1st	3rd	4th	2nd	1st	9	778	2	1
35	Harvard B		2nd	4th	1st	1st	3rd	9	776	2	1
36	Bates B		2nd	3rd	3rd	1st	2nd	9	767	1	2
37	Cambridge D		4th	3rd	2nd	1st	1st	9	762	2	1
38	UCD L&amp;H B	ESL, Novice	3rd	2nd	2nd	3rd	1st	9	759	1	2
39	Bucharest B	ESL	1st	1st	4th	1st	—	9	650	3	0
40	LSE B		3rd	2nd	1st	3rd	3rd	8	788	1	1
41	Malaya A	ESL	2nd	1st	1st	4th	4th	8	786	2	1
42	UCL E		1st	4th	1st	4th	2nd	8	785	2	1
43	UBC A		1st	1st	3rd	4th	3rd	8	783	2	0
44	Brown A		3rd	2nd	1st	4th	2nd	8	781	1	2
45	HWS A	ESL	2nd	1st	4th	4th	1st	8	779	2	1
46	Warwick A		1st	4th	3rd	1st	3rd	8	778	2	0
47	IIUM A	ESL	1st	2nd	4th	4th	1st	8	776	2	1
48	Berlin A	ESL	3rd	4th	1st	2nd	2nd	8	769	1	2
49	UCL A		3rd	1st	1st	3rd	4th	8	768	2	0
50	Sciences Po A		2nd	4th	2nd	3rd	1st	8	768	1	2
51=	LSE D	Novice	2nd	3rd	4th	1st	2nd	8	763	1	2
51=	Maastricht A	ESL	4th	1st	2nd	2nd	3rd	8	763	1	2
53	Malaya B	ESL	2nd	2nd	3rd	3rd	2nd	8	763	0	3
54	TCD Phil A		3rd	2nd	2nd	2nd	3rd	8	760	0	3
55	Western A		3rd	3rd	1st	2nd	4th	7	778	1	1
56	Stanford E		1st	4th	4th	2nd	2nd	7	774	1	2
57	Edinburgh A	Novice	3rd	3rd	1st	4th	2nd	7	774	1	1
58	Edinburgh D		3rd	1st	1st	4th	4th	7	772	2	0
59	Stanford D		4th	2nd	3rd	1st	3rd	7	771	1	1
60	UCL C		2nd	3rd	2nd	3rd	3rd	7	769	0	2
61	Zurich A		2nd	2nd	2nd	3rd	4th	7	766	0	3
62	Cambridge B		2nd	4th	2nd	1st	4th	7	764	1	2
63	Bristol B		4th	1st	4th	3rd	1st	7	761	2	0
64	St Andrews B		1st	4th	3rd	1st	4th	7	759	2	0
65	Berlin B		2nd	3rd	1st	4th	3rd	7	757	1	1
66	TCD Phil B		3rd	1st	3rd	4th	2nd	7	755	1	1
67	Imperial C	Novice	2nd	3rd	3rd	4th	1st	7	751	1	1
68	UCD L&amp;H C		1st	3rd	4th	1st	4th	7	750	2	0
69	Yale B		4th	1st	3rd	2nd	3rd	7	748	1	1
70	LSE C	ESL	1st	3rd	4th	4th	1st	7	745	2	0
71	Berlin C	ESL	2nd	4th	3rd	3rd	1st	7	738	1	1
72	Liverpool A		3rd	3rd	4th	1st	2nd	7	736	1	1
73	Cambridge F	Novice	4th	1st	2nd	3rd	3rd	7	735	1	1
74	Bates C		3rd	4th	1st	3rd	2nd	7	734	1	1
75	Imperial B		3rd	3rd	4th	2nd	2nd	6	759	0	2
76	Brown B		1st	4th	4th	4th	1st	6	758	2	0
77	Cambridge E	Novice	2nd	4th	4th	1st	3rd	6	756	1	1
78	Colgate B		4th	2nd	2nd	3rd	3rd	6	751	0	2
79	UCL D	ESL	4th	1st	4th	1st	4th	6	749	2	0
80	Harvard C		3rd	2nd	3rd	2nd	4th	6	749	0	2
81	TCD Phil C	Novice	4th	4th	2nd	2nd	2nd	6	748	0	3
82	UCD LawSoc A		4th	2nd	4th	2nd	2nd	6	747	0	3
83	UCD LawSoc B		4th	2nd	2nd	2nd	4th	6	746	0	3
84	Norwich A		3rd	4th	2nd	2nd	3rd	6	726	0	2
85	Sciences Po B	ESL, Novice	4th	3rd	1st	4th	2nd	6	724	1	1
86	Colgate C	Novice	4th	4th	2nd	3rd	1st	6	719	1	1
87	ACG A	ESL, Novice	4th	4th	1st	1st	4th	6	718	2	0
88	KCL C	ESL	2nd	2nd	4th	3rd	4th	5	763	0	2
89	Cardiff A	Novice	1st	3rd	3rd	4th	4th	5	757	1	0
90	Warwick B		3rd	3rd	2nd	4th	3rd	5	748	0	1
91	Brown C		4th	4th	1st	2nd	4th	5	745	1	1
92	St Andrews A	Novice	4th	3rd	1st	3rd	4th	5	739	1	0
93	Exeter A		3rd	2nd	3rd	4th	3rd	5	735	0	1
94	RHUL B		1st	4th	4th	3rd	3rd	5	733	1	0
95	QMUL A	Novice	4th	2nd	4th	4th	1st	5	725	1	1
96	Colgate A		4th	2nd	3rd	4th	2nd	5	711	0	2
97	Sciences Po C	Novice	4th	3rd	3rd	2nd	3rd	5	709	0	1
98	ADS A		3rd	4th	4th	2nd	3rd	4	736	0	1
99	Miami A		3rd	3rd	3rd	3rd	4th	4	733	0	0
100	KCL D	Novice	4th	3rd	3rd	4th	2nd	4	732	0	1
101	Reading A		3rd	4th	2nd	4th	3rd	4	711	0	1
102	Swing B		4th	4th	3rd	1st	—	4	587	1	0
103	Swing A		2nd	2nd	—	—	—	4	324	0	2
104	Miami B		4th	2nd	3rd	4th	4th	3	736	0	1
105	TCD Hist B	Novice	2nd	4th	4th	3rd	4th	3	731	0	1
106	Norwich B		3rd	3rd	3rd	4th	4th	3	727	0	0
107	RHUL A	Novice	3rd	4th	3rd	3rd	4th	3	709	0	0
108	Reading B		4th	4th	3rd	4th	2nd	3	686	0	1
109	QMUL B	Novice	3rd	4th	4th	2nd	4th	3	679	0	1
