
Rk	team	categories	R1	R2	R3	R4	R5	R6	Pts	Spk	1sts	2nds
1	JANKY DANKY	Open	1st	1st	1st	1st	1st	1st	18	983	6	0
2	Shead and Stephenson	Open	1st	3rd	1st	1st	1st	3rd	14	963	4	0
3	OGres with Layers	Open	2nd	1st	1st	2nd	2nd	2nd	14	954	2	4
4	CHRONIC PAIN GWORLIES	Open	1st	1st	3rd	1st	3rd	1st	14	951	4	0
5	We cant think of a team name :)	Highschool	2nd	1st	2nd	2nd	2nd	1st	14	927	2	4
6	CWSDC 7	Highschool	1st	2nd	2nd	2nd	2nd	2nd	13	954	1	5
7	CWSDC 3	Highschool	1st	1st	1st	3rd	4th	1st	13	949	4	0
8	CWSDC 6	Highschool	2nd	1st	2nd	2nd	3rd	1st	13	940	2	3
9	CWSDC 11	Highschool	3rd	3rd	2nd	1st	1st	1st	13	920	3	1
10	Ateneo LN	Open	1st	1st	3rd	3rd	2nd	2nd	12	949	2	2
11	CWSDC 1	Highschool	1st	2nd	2nd	1st	4th	2nd	12	946	2	3
12	CWSDC 5	Highschool	3rd	2nd	1st	1st	1st	4th	12	935	3	1
13	CWSDC 9	Highschool	1st	1st	4th	1st	3rd	2nd	12	930	3	1
14	CWSDC 14	Highschool	1st	3rd	1st	3rd	1st	3rd	12	928	3	0
15	YISS Queens	Highschool	2nd	1st	4th	2nd	2nd	1st	12	923	2	3
16	DAV Jägerbomb	Open	2nd	1st	3rd	1st	4th	2nd	11	936	2	2
17	Burger King	Highschool	1st	1st	4th	4th	1st	2nd	11	930	3	1
18	UM TH as Chimpanzees	Open	1st	3rd	1st	4th	1st	3rd	11	926	3	0
19=	CWSDC 2	Highschool	1st	3rd	2nd	2nd	1st	4th	11	926	2	2
19=	Nova Hangzhou Patrick Star	Open	1st	2nd	4th	1st	2nd	3rd	11	926	2	2
19=	Unstoppable RAJA	Highschool	2nd	2nd	3rd	4th	1st	1st	11	926	2	2
22	DKU A	Open	2nd	2nd	2nd	3rd	2nd	2nd	11	921	0	5
23	help us	Highschool	2nd	3rd	3rd	1st	3rd	1st	11	919	2	1
24=	CWSDC 15	Highschool	1st	4th	3rd	2nd	2nd	1st	11	917	2	2
24=	Nova Hangzhou Westlake Fish with Po	Open	3rd	2nd	2nd	1st	1st	4th	11	917	2	2
26	Karl Markets	Open	3rd	1st	1st	3rd	2nd	3rd	11	914	2	1
27	Imperial Inquisitors	Open	3rd	3rd	4th	1st	1st	1st	11	913	3	0
28	CWSDC 10	Highschool	3rd	1st	3rd	2nd	4th	1st	10	931	2	1
29	CWSDC 4	Highschool	2nd	2nd	1st	4th	1st	4th	10	928	2	2
30	CWSDC 8	Highschool	3rd	1st	2nd	3rd	1st	4th	10	928	2	1
31	Master Debaters	Highschool	2nd	4th	1st	3rd	2nd	2nd	10	928	1	3
32	Cheerful News Bad Commentary	Open	2nd	4th	4th	1st	1st	2nd	10	921	2	2
33	belligerent badgers	Highschool	2nd	4th	1st	2nd	2nd	3rd	10	915	1	3
34	Kate &amp; Eze	Open	1st	2nd	2nd	4th	4th	1st	10	914	2	2
35	CWSDC 12	Highschool	1st	4th	1st	2nd	3rd	3rd	10	913	2	1
36	Grass, a kind of plant	Highschool	3rd	2nd	2nd	3rd	1st	3rd	10	911	1	2
37	Shanghai Emotionless PPT Machine	Open	2nd	2nd	3rd	1st	4th	2nd	10	909	1	3
38	We&#x27;re cirisly slaying	Highschool	4th	2nd	3rd	1st	2nd	2nd	10	902	1	3
39	Listen Up	Open	4th	1st	3rd	4th	1st	1st	10	893	3	0
40	Rising from the Ashes	Open	4th	2nd	2nd	1st	4th	1st	10	889	2	2
41	overrated	Highschool	1st	4th	2nd	1st	3rd	4th	9	931	2	1
42	Unicorn	Highschool	3rd	1st	4th	1st	2nd	4th	9	923	2	1
43	SUSJ	Open	2nd	3rd	1st	3rd	3rd	3rd	9	919	1	1
44	Creed III	Open	1st	4th	1st	4th	1st	4th	9	916	3	0
45	Nova Hangzhou Spicy Thai Hotpot	Open	2nd	2nd	2nd	4th	4th	1st	9	916	1	3
46	Mars CJ	Highschool	3rd	1st	4th	1st	3rd	3rd	9	915	2	0
47	go to K11 with us	Open	4th	1st	4th	2nd	2nd	2nd	9	907	1	3
48	CWSDC 13	Highschool	1st	2nd	3rd	2nd	4th	3rd	9	907	1	2
49	OOMPA LOOMPA🧌	Highschool	2nd	4th	1st	4th	3rd	1st	9	904	2	1
50	Holy squishy eyeballs	Highschool	2nd	2nd	3rd	4th	1st	3rd	9	904	1	2
51	Don&#x27;t let me name our team	Highschool	2nd	4th	1st	4th	3rd	1st	9	901	2	1
52	Carry	Open	4th	1st	4th	1st	3rd	2nd	9	897	2	1
53	some random thing	Highschool	2nd	3rd	4th	3rd	1st	2nd	9	877	1	2
54	SISU A	Open	1st	4th	2nd	2nd	3rd	4th	8	923	1	2
55	Buy me Friday	Open	1st	3rd	4th	3rd	4th	1st	8	911	2	0
56	DoMynating	Open	3rd	4th	3rd	2nd	3rd	1st	8	905	1	1
57	chestnut	Highschool	3rd	3rd	3rd	1st	3rd	3rd	8	904	1	0
58	We Need A Break!	Highschool	2nd	3rd	3rd	2nd	2nd	4th	8	904	0	3
59	UM Joker and Homeless	Open	3rd	4th	1st	3rd	2nd	3rd	8	897	1	1
60	My little pony ROCKS	Highschool	1st	4th	4th	2nd	2nd	3rd	8	894	1	2
61	Pearl Jezap Pudding River	Open	2nd	4th	3rd	4th	1st	2nd	8	889	1	2
62	Undefined	Highschool	4th	2nd	1st	2nd	3rd	4th	8	888	1	2
63	Super Team	Highschool	4th	3rd	1st	3rd	3rd	2nd	8	888	1	1
64	Lifeless adults	Open	1st	3rd	1st	4th	4th	4th	7	918	2	0
65	Shinzou Wo Sasageyo	Highschool	2nd	1st	3rd	3rd	4th	4th	7	912	1	1
66=	Prone to Pneumonoultramicroscopicsi	Highschool	3rd	2nd	4th	3rd	2nd	3rd	7	905	0	2
66=	Weight, I Got This Won	Highschool	3rd	2nd	2nd	3rd	3rd	4th	7	905	0	2
68	Veggie nuts	Highschool	3rd	3rd	4th	2nd	3rd	2nd	7	904	0	2
69	Elisa &amp; Sophia	Highschool	4th	2nd	2nd	4th	2nd	3rd	7	902	0	3
70	Heehee	Highschool	3rd	3rd	4th	4th	1st	2nd	7	898	1	1
71=	&quot;Is this a sign?&quot;	Highschool	2nd	3rd	1st	4th	3rd	4th	7	888	1	1
71=	Wave Waver	Open	3rd	1st	4th	2nd	4th	3rd	7	888	1	1
