
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Wait, when did Vivian get a Canadi		1st	1st	1st	2nd	1st	14	825	4	1
2	eager beaver buttered seal		1st	1st	1st	1st	3rd	13	820	4	0
3	My weed is Amitai&#x27;s 13th reason wh	ESL	1st	1st	2nd	1st	2nd	13	807	3	2
4	Feral Catgirls		1st	2nd	2nd	2nd	1st	12	812	2	3
5	Ain’t it funny? Rumours fly		1st	2nd	1st	3rd	1st	12	798	3	1
6	McDonald and the Newman Strike Aga		3rd	1st	1st	1st	2nd	12	794	3	1
7	Capybara and Young Hong Kong Boy		1st	1st	3rd	3rd	1st	11	796	3	0
8	Toto, I’ve a feeling we’re not in	ESL	2nd	3rd	1st	2nd	1st	11	787	2	2
9	Athens A	ESL	1st	2nd	1st	4th	1st	11	786	3	1
10	Girl Math Economists	ESL	3rd	2nd	1st	1st	2nd	11	786	2	2
11	Princeton South Asia		1st	3rd	1st	1st	3rd	11	785	3	0
12	Ellie Stephenson &amp; Ben Diskin		1st	2nd	2nd	3rd	2nd	10	812	1	3
13	LSE Chicken Chang&#x27;s		1st	2nd	1st	2nd	4th	10	802	2	2
14=	Tweed Coats		1st	4th	1st	3rd	1st	10	795	3	0
14=	your dad+ skill issue+ no bitches+		1st	1st	4th	1st	3rd	10	795	3	0
16	Miraculously Victorious	ESL	2nd	1st	2nd	4th	1st	10	792	2	2
17	Sleep deprived and baked		1st	3rd	1st	4th	1st	10	791	3	0
18	Embassy of Potato Europe to Tomato	ESL	4th	1st	2nd	1st	2nd	10	774	2	2
19	Remontada	ESL	3rd	1st	4th	1st	1st	10	768	3	0
20	A Weizmann once said		2nd	1st	3rd	4th	1st	9	789	2	1
21	debater? I actually get along with		2nd	2nd	3rd	1st	3rd	9	787	1	2
22	A cook and a chef	ESL	2nd	1st	3rd	1st	4th	9	784	2	1
23	Technion A	ESL	2nd	2nd	2nd	2nd	3rd	9	783	0	4
24	Pew Pew Ahmet Mohsin	ESL	3rd	1st	2nd	1st	4th	9	781	2	1
25	Vereinigtes Baltisches Herzogtum	ESL	3rd	1st	4th	1st	2nd	9	780	2	1
26	Got Iron Dome from your mum		1st	2nd	4th	2nd	2nd	9	778	1	3
27	Warsaw AF	ESL	2nd	4th	2nd	2nd	1st	9	770	1	3
28	japanese citrus fruit		2nd	4th	3rd	1st	1st	9	766	2	1
29	Gargamel and Smurfette	ESL	3rd	3rd	1st	2nd	2nd	9	765	1	2
30	KCL so much little bitch energy in		3rd	1st	4th	3rd	1st	8	783	2	0
31	Pacific Coast CR	Novice	1st	3rd	2nd	3rd	3rd	8	783	1	1
32	Trauma dumping with extra steps	ESL	2nd	1st	3rd	3rd	3rd	8	780	1	1
33	UCL Sailing Society		2nd	4th	1st	1st	4th	8	778	2	1
34	Larkana	ESL	4th	2nd	1st	2nd	3rd	8	775	1	2
35	K2	ESL	2nd	2nd	3rd	2nd	3rd	8	775	0	3
36	Sponsored by FTX and SVB		1st	3rd	2nd	2nd	4th	8	773	1	2
37	we&#x27;re strong men but also strong m	ESL	2nd	3rd	1st	4th	2nd	8	771	1	2
38	Bring back the blonde girl that de		3rd	3rd	1st	3rd	2nd	8	770	1	1
39	KCL we’d have a better team name i		1st	4th	2nd	4th	1st	8	769	2	1
40	Katarina&#x27;s pets	ESL	2nd	2nd	1st	3rd	4th	8	769	1	2
41	（M）Wacao	ESL	4th	1st	1st	4th	2nd	8	768	2	1
42	chuukki and drewwkki		3rd	2nd	1st	4th	2nd	8	767	1	2
43	ETH Zurich HT		3rd	2nd	4th	2nd	1st	8	763	1	2
44	Niki Rumen	ESL	3rd	2nd	2nd	2nd	3rd	8	759	0	3
45	Arnold A	ESL, Novice	4th	3rd	2nd	1st	2nd	8	752	1	2
46	EDS KP		1st	1st	4th	2nd	—	8	636	2	1
47	the team with no visa		4th	1st	2nd	1st	—	8	623	2	1
48	don’t even trip dawg	Novice	2nd	1st	3rd	3rd	4th	7	784	1	1
49	truffle pigs	Novice	3rd	3rd	2nd	1st	4th	7	771	1	1
50	Sciences Pipo	ESL	1st	4th	3rd	1st	4th	7	768	2	0
51	Technion GR++	ESL	1st	3rd	2nd	4th	3rd	7	768	1	1
52	Do u hate me💦	ESL	4th	1st	3rd	4th	1st	7	767	2	0
53	Rupem Baraka	ESL, Novice	1st	3rd	3rd	3rd	3rd	7	767	1	0
54=	Chonkyo	ESL	2nd	3rd	4th	2nd	2nd	7	762	0	3
54=	GC A	ESL	2nd	4th	2nd	3rd	2nd	7	762	0	3
56	Mickinsey sucks	ESL	2nd	4th	3rd	2nd	2nd	7	761	0	3
57	Athens Tech A	ESL, Novice	3rd	4th	4th	1st	1st	7	760	2	0
58	United Coimbra	ESL	4th	2nd	3rd	1st	3rd	7	759	1	1
