
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Max and Tejas		1st	1st	2nd	1st	1st	14	832	4	1
2	Peking Matt &amp; Ricky		1st	2nd	1st	2nd	1st	13	813	3	2
3	Manchester A(ctually this literally happens i		1st	3rd	1st	1st	2nd	12	815	3	1
4	Oxford B		1st	2nd	1st	1st	3rd	12	803	3	1
5	guess which one of us is speaking		1st	2nd	2nd	2nd	1st	12	803	2	3
6	Weizmann R&amp;D	ESL	1st	1st	1st	4th	1st	12	800	4	0
7	HUJI My weed consumption is Amitai&#x27;s 13	ESL	1st	3rd	1st	1st	2nd	12	797	3	1
8	UNSW Leslie-Keefe and Doyle		1st	2nd	1st	4th	1st	11	814	3	1
9	TnT		1st	1st	2nd	2nd	3rd	11	814	2	2
10	Feral Catgirls Reunion		1st	3rd	3rd	1st	1st	11	797	3	0
11	UCD L&amp;H F		2nd	1st	2nd	3rd	1st	11	796	2	2
12	Athens A	ESL	1st	2nd	2nd	2nd	2nd	11	793	1	4
13	Team Poland	ESL	1st	1st	4th	2nd	1st	11	791	3	1
14	Control the Controllables: Silicon		1st	4th	2nd	1st	1st	11	790	3	1
15	retired debsoc presidents		2nd	2nd	1st	2nd	2nd	11	778	1	4
16	Belgrade B	ESL	2nd	1st	1st	3rd	3rd	10	801	2	1
17	LSE B(rown)	ESL	1st	1st	1st	3rd	4th	10	799	3	0
18	Suscribe to the Shaft Podcas(tHEY	ESL	1st	1st	3rd	4th	1st	10	793	3	0
19	Zagreb B(ROOOOMVROOOOMSKKKRRRHHHDJFFJRBR	ESL	2nd	2nd	1st	1st	4th	10	792	2	2
20	Odia Bachao Yojna	ESL	2nd	1st	3rd	2nd	2nd	10	791	1	3
21	Aber is elimin(A)ted is eliminated is e		1st	2nd	3rd	1st	3rd	10	789	2	1
22	Oxford D&amp;H		2nd	1st	2nd	4th	1st	10	782	2	2
23	Rumen&#x27;s Matchmaking		1st	3rd	2nd	1st	3rd	10	782	2	1
24	Edinburgh A		1st	3rd	3rd	1st	2nd	10	781	2	1
25	UWODS theoretical alcoholics		1st	1st	3rd	3rd	2nd	10	780	2	1
26	USU TBD		1st	4th	1st	2nd	2nd	10	776	2	2
27	Imperial No utility after death		3rd	2nd	1st	3rd	1st	10	770	2	1
28	UCLA fact checked by REAL American patr	Novice	4th	1st	2nd	2nd	1st	10	767	2	2
29	Belgrade ne znam😕ne znam sta da ti kazem☹️	ESL	1st	1st	4th	4th	1st	9	793	3	0
30	Technion A	ESL	1st	2nd	4th	2nd	2nd	9	788	1	3
31	Belgrade Arts Sword Arts Online	ESL	3rd	1st	1st	3rd	3rd	9	785	2	0
