
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Oxford A	ESL	3rd	1st	1st	1st	1st	13	810	4	0
2	A K-pop star and his bodyguard		2nd	1st	1st	2nd	1st	13	809	3	2
3	Emotional Skill Issue		1st	1st	1st	1st	3rd	13	800	4	0
4	UCL Rick and Morty		1st	1st	2nd	2nd	2nd	12	813	2	3
5	UCD L&amp;H Daniela and Caoimhin if they were		2nd	1st	2nd	1st	2nd	12	807	2	3
6	LSE Drunk and Drunker		1st	3rd	1st	2nd	1st	12	801	3	1
7	Zagreb A	ESL	1st	1st	2nd	4th	1st	11	803	3	1
8	UCL CJ		1st	1st	3rd	3rd	1st	11	803	3	0
9	A.lways C.losing G.overnment A	ESL	3rd	1st	1st	2nd	2nd	11	792	2	2
10	40% of addicts relapse two years a	ESL	1st	1st	4th	3rd	1st	10	809	3	0
11	TCD Hist A		2nd	2nd	2nd	2nd	2nd	10	798	0	5
12	Edinburgh Al(is)hba I know you’re crying rn		2nd	3rd	1st	1st	3rd	10	795	2	1
13	Edinburgh Coconut lovers		2nd	3rd	1st	1st	3rd	10	794	2	1
14	UCD LawSoc Broken (A)nkles		1st	1st	4th	2nd	2nd	10	792	2	2
15	Have at Thee!	ESL	3rd	3rd	1st	2nd	1st	10	790	2	1
16	Technion A	ESL	1st	2nd	2nd	1st	4th	10	788	2	2
17	UCL Everyone will feel it.		3rd	3rd	1st	2nd	1st	10	781	2	1
18	girlie idk, get me a monster		2nd	2nd	3rd	1st	2nd	10	781	1	3
19	TCD Hist (B)ut it’s bring your grandparent		2nd	2nd	1st	4th	1st	10	778	2	2
20	UCLA A Hegelian and a Russellian Walk I		1st	2nd	1st	3rd	4th	9	803	2	1
21	harry potter and the missing compa		1st	4th	1st	3rd	2nd	9	802	2	1
22	timezone? time to sleep		2nd	1st	4th	1st	3rd	9	792	2	1
23	Weizman debate rooms didnt get hit	ESL	1st	2nd	1st	4th	3rd	9	789	2	1
24	Tel Aviv University Tel Aviv A(ters gonna hate)	ESL	1st	2nd	3rd	3rd	2nd	9	786	1	2
25	(F)inancing (S)tock (L)everage usi		1st	3rd	3rd	3rd	1st	9	784	2	0
26	Vienna AT		2nd	4th	1st	3rd	1st	9	780	2	1
