
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Oxford A(nakin, you were meant to destroy		1st	2nd	1st	1st	1st	14	828	4	1
2	HUJI A&amp;A	ESL	1st	2nd	2nd	1st	2nd	12	821	2	3
3	Manchester A		1st	1st	1st	2nd	3rd	12	819	3	1
4	Matt and Pranav		1st	3rd	1st	2nd	1st	12	816	3	1
5	but what if we did Panama.......?		1st	1st	2nd	3rd	1st	12	812	3	1
6	not the rotterdam-aber alliance yo		1st	2nd	1st	3rd	2nd	11	804	2	2
7	KCL (A)pparently you’re supposed to do		1st	4th	1st	1st	2nd	11	798	3	1
8	Open Team Robiah	ESL, Pro-Am	2nd	1st	3rd	2nd	1st	11	796	2	2
9=	EUDU Tom and Foolery 5: Discord Pisslor		1st	3rd	2nd	2nd	1st	11	790	2	2
9=	UCL Matterdumper in rehab		2nd	2nd	3rd	1st	1st	11	790	2	2
11	Stanford ST		1st	3rd	1st	1st	4th	10	804	3	0
12	LSE A+B		1st	4th	1st	1st	3rd	10	801	3	0
13	EUDU (B)ona (F)ide Scots		1st	1st	3rd	4th	1st	10	795	3	0
14	Weizmann R&amp;D	ESL	2nd	2nd	1st	3rd	2nd	10	794	1	3
15	TCD Phil B(lack and better)		2nd	3rd	1st	1st	3rd	10	792	2	1
16	Oxford LA		1st	4th	1st	2nd	2nd	10	784	2	2
17	Kaun Talha?		3rd	3rd	2nd	1st	1st	10	784	2	1
18	GUU BallCuntDick		3rd	3rd	1st	1st	2nd	10	778	2	1
19	St Andrews B(abe where&#x27;s Nigella? my crumble		1st	2nd	3rd	1st	4th	9	800	2	1
20	Red Flag and White Flag		2nd	1st	2nd	2nd	4th	9	798	1	3
21	UCD L&amp;H shane can’t get a date and rob’s h		1st	4th	3rd	1st	2nd	9	796	2	1
22	TCD Phil A Browne and a brown		1st	3rd	4th	2nd	1st	9	793	2	1
23	Bucharest VA	ESL	1st	1st	4th	4th	1st	9	791	3	0
24	Imperial A		4th	2nd	1st	1st	3rd	9	786	2	1
25	St Andrews Coconut tree-pilled passage-of-tim		3rd	1st	3rd	3rd	1st	9	782	2	0
26	TCD Hist ETA Draw? ETA Tab? ETA my euros pa		2nd	1st	3rd	4th	1st	9	776	2	1
27	Eton A		3rd	2nd	2nd	2nd	2nd	9	774	0	4
