
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Oxford AP		1st	1st	1st	2nd	1st	14	791	4	1
2	Only chronically partnerless		1st	1st	1st	1st	3rd	13	795	4	0
3	Harold and Kumar (guess which one		1st	1st	3rd	1st	1st	13	791	4	0
4	Bucharest A	ESL	1st	1st	2nd	1st	2nd	13	790	3	2
5	TCD Hist Rehan and Ziyad		2nd	2nd	1st	1st	1st	13	787	3	2
6	LSE If u can&#x27;t pre with alchool, pre w	ESL	1st	2nd	1st	2nd	1st	13	786	3	2
7	DU Kunwar Adhiraj Pratap Singh	ESL	2nd	1st	2nd	1st	2nd	12	803	2	3
8	Pirates of the Gulf of Guinea		1st	3rd	1st	1st	2nd	12	792	3	1
9	Questern		2nd	2nd	1st	1st	2nd	12	790	2	3
10	Will confirm asap	ESL	1st	1st	2nd	3rd	1st	12	786	3	1
11	GUU (B)reaking Free		1st	3rd	2nd	1st	1st	12	785	3	1
12	Bucharest B	ESL	1st	1st	1st	4th	1st	12	783	4	0
13	TCD Hist I’m not ticklish, you are!		3rd	1st	1st	2nd	1st	12	779	3	1
14	Cornell Gaveal&#x27;s biggest fans		1st	2nd	1st	1st	4th	11	795	3	1
15	Chulalongkorn SS	ESL, Novice	1st	2nd	2nd	3rd	1st	11	795	2	2
16	Edinburgh ... B? C? A-Z? Σ		1st	1st	2nd	3rd	2nd	11	790	2	2
17	We retired from retirement because	ESL	2nd	1st	2nd	2nd	2nd	11	787	1	4
18	subject to change	ESL	1st	3rd	1st	2nd	2nd	11	786	2	2
19	Founders League Union	Novice	1st	4th	1st	1st	2nd	11	782	3	1
20	Alberta THBT it is biologically advantageo		1st	1st	1st	3rd	3rd	11	777	3	0
21	Exeter EXit Stage Left		2nd	1st	3rd	2nd	1st	11	775	2	2
22	Shady phsychopath	ESL	2nd	1st	1st	4th	1st	11	773	3	1
23	homeless kiddoss w/o albert	ESL, Novice, Schools	3rd	2nd	2nd	1st	1st	11	772	2	2
24	CU A	ESL	2nd	2nd	2nd	1st	2nd	11	771	1	4
25	FTU wuh wuh what?	ESL	1st	2nd	2nd	1st	3rd	11	768	2	2
26	FLSS CNN Befuddled	Novice, Schools	1st	2nd	1st	4th	1st	11	767	3	1
27	Queen&#x27;s astral projecting into ur butthole		3rd	1st	1st	3rd	1st	11	766	3	0
28	Break X Hunters	ESL, Novice	2nd	3rd	2nd	1st	1st	11	759	2	2
29	Whiptical Illusion	ESL, Novice	1st	2nd	2nd	2nd	3rd	10	791	1	3
30	TSRS Reg time running out	ESL, Novice, Schools	2nd	1st	4th	1st	2nd	10	787	2	2
31	KCL the equity officer and the walking		1st	1st	3rd	4th	1st	10	785	3	0
32	no eco motions pls	ESL	2nd	1st	1st	2nd	4th	10	784	2	2
33	Strathmore Pee Oh Eye	ESL	2nd	1st	3rd	1st	3rd	10	783	2	1
34	HG F(orever single, hopefully not ???	Novice, Schools	2nd	1st	2nd	4th	1st	10	782	2	2
35	Iguanakant		1st	4th	3rd	1st	1st	10	781	3	0
36	USIU Ikenga		1st	3rd	2nd	2nd	2nd	10	780	1	3
37	Cornell Recycle		1st	3rd	1st	3rd	2nd	10	778	2	1
38=	HG E - exhausted eject exit ?????em f	Novice, Schools	1st	2nd	1st	3rd	3rd	10	777	2	1
38=	Tora and Aru	Novice, Schools	1st	3rd	1st	2nd	3rd	10	777	2	1
40	NMU Top of the TABlet		1st	2nd	3rd	1st	3rd	10	774	2	1
41=	LGS JT Powerpuff Boys	Novice, Schools	1st	1st	2nd	2nd	4th	10	773	2	2
41=	XU-AdC The Rise of Bilateralism	ESL, Novice	2nd	2nd	1st	1st	4th	10	773	2	2
43	ALU A		3rd	2nd	1st	1st	3rd	10	773	2	1
44	Miki’s looking a bit different tod		1st	2nd	1st	4th	2nd	10	772	2	2
45	UHAS UpDown	ESL	3rd	1st	1st	4th	1st	10	770	3	0
46	J and J		2nd	1st	4th	1st	2nd	10	765	2	2
47	NMIMS ASMSOC e-mommy affliction	ESL, Novice	3rd	4th	1st	1st	1st	10	763	3	0
48	Kings	ESL, Novice	1st	2nd	2nd	4th	1st	10	761	2	2
49=	WPGA Laddu	Novice, Schools	1st	3rd	2nd	2nd	2nd	10	761	1	3
49=	Transoceanic Javertists	Novice	2nd	2nd	3rd	2nd	1st	10	761	1	3
51	Coerce you !	ESL	1st	1st	4th	3rd	1st	10	760	3	0
52	sin cos tan, your mom my onlyfan	ESL, Novice	1st	3rd	4th	1st	1st	10	755	3	0
53	IIT Roorkee zengel	ESL, Novice	3rd	1st	2nd	2nd	2nd	10	753	1	3
54	IIT Bombay Why is GC still our debate peak?	ESL	1st	2nd	4th	1st	3rd	9	781	2	1
55	2 philosophers stoned	ESL	3rd	1st	4th	2nd	1st	9	779	2	1
56	pp on the pp (get your mind out of	ESL, Novice, Schools	2nd	1st	3rd	3rd	2nd	9	775	1	2
57	Japan Yamagishi	ESL	2nd	3rd	1st	1st	4th	9	774	2	1
58	KNUST B	ESL	4th	2nd	3rd	1st	1st	9	772	2	1
59	St Andrews (B)arking up the wrong tree		1st	2nd	3rd	2nd	3rd	9	772	1	2
60	Jinx homies	ESL	1st	1st	3rd	2nd	4th	9	771	2	1
61	HG A - HGDT but just the cuties	Novice, Schools	2nd	3rd	3rd	2nd	1st	9	771	1	2
62	IIT Delhi Not a loss but a strategic 4th	ESL, Novice	2nd	2nd	2nd	1st	4th	9	770	1	3
63	Alberta Winning is a Canon Event		3rd	2nd	1st	3rd	2nd	9	770	1	2
64	KNUST PETRICHOR	ESL	1st	3rd	3rd	2nd	2nd	9	768	1	2
65	LGS JT Phantom Troupe		3rd	1st	2nd	2nd	3rd	9	767	1	2
66	Santo Tomas debasties	ESL, Novice	2nd	2nd	1st	4th	2nd	9	765	1	3
67	Berlin B	ESL	2nd	1st	3rd	3rd	2nd	9	765	1	2
68	CAITO KINGS	ESL	2nd	3rd	3rd	2nd	1st	9	764	1	2
69	PSHS ADDU Bangkal Campus	ESL, Novice, Schools	1st	3rd	4th	2nd	1st	9	763	2	1
70	Spring 1975	ESL	1st	3rd	3rd	1st	3rd	9	761	2	0
71	GNLU Doofenshmirtz and his (emotional s	Novice	2nd	4th	2nd	1st	2nd	9	761	1	3
72	XU-AdC SASHA COLBY!		1st	3rd	2nd	4th	1st	9	759	2	1
73	we fought each other in uhuru last	Novice, Schools	3rd	1st	3rd	2nd	2nd	9	759	1	2
74	HG C - She says I am the One (but t	Novice, Schools	4th	1st	2nd	3rd	1st	9	758	2	1
75	ADDU Rikk and Nurty	ESL	2nd	3rd	1st	2nd	3rd	9	756	1	2
76	Coimbra PRC - People&#x27;s Republic of Coimbra	ESL	1st	4th	1st	3rd	2nd	9	754	2	1
77	We are here		2nd	3rd	2nd	1st	3rd	9	752	1	2
78	GU Easy Company		—	2nd	3rd	1st	1st	9	603	2	1
79	Budapest BanDia	ESL	3rd	2nd	2nd	1st	4th	8	777	1	2
80	ARSDC DU 3 inches is not enough ?	ESL, Novice	1st	3rd	3rd	2nd	3rd	8	773	1	1
81=	Strathmore Onigashima	ESL	2nd	1st	4th	1st	4th	8	772	2	1
81=	we&#x27;re contacting you about your ca	Schools	1st	1st	4th	2nd	4th	8	772	2	1
83	NMU Anbu Black Ops		1st	3rd	1st	3rd	4th	8	768	2	0
84	Spirit of the Coast	ESL	1st	1st	4th	2nd	4th	8	767	2	1
85	AUD THS Heartache	ESL, Novice	4th	3rd	1st	3rd	1st	8	765	2	0
86	Sun kissed HOEmies	ESL, Novice	1st	2nd	3rd	3rd	3rd	8	765	1	1
87	Dundee Euros Champions 2023		2nd	4th	1st	4th	1st	8	764	2	1
88	Strathmore Tirana	ESL	1st	1st	3rd	3rd	4th	8	763	2	0
89	ENU Nothing to say	ESL	2nd	4th	3rd	1st	2nd	8	763	1	2
90	ITS 4AM AT 107		2nd	2nd	4th	2nd	2nd	8	763	0	4
