
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Slumdogs and Wannabe Millionaires		1st	1st	1st	1st	1st	15	808	5	0
2	EUDU (B)ullshit and (F)arce		1st	2nd	1st	1st	1st	14	796	4	1
3	queer ey-xtensions		1st	1st	1st	2nd	2nd	13	812	3	2
4	UA&amp;P HEHE PO!	ESL	1st	1st	3rd	1st	1st	13	803	4	0
5	LSE Buckus Elucidates		1st	1st	1st	1st	3rd	13	802	4	0
6	Berjaya College A	ESL	1st	1st	3rd	1st	1st	13	797	4	0
7	Sciences Po Half Brown, Half Yellow		1st	2nd	1st	1st	2nd	13	792	3	2
8	GUU B		1st	1st	2nd	2nd	1st	13	787	3	2
9	Fish-Friendly Sharks support group		1st	1st	3rd	1st	2nd	12	798	3	1
10	Lekker? I hardly know her!		1st	2nd	2nd	2nd	1st	12	793	2	3
11	HH online tournament means we can&#x27;t m		2nd	1st	1st	2nd	2nd	12	790	2	3
12	UCL B		2nd	1st	2nd	1st	2nd	12	788	2	3
13	Will Justin Sleep Through Novice F		1st	2nd	1st	3rd	1st	12	787	3	1
14	Quirked up white boys (do they hav		1st	2nd	2nd	2nd	1st	12	787	2	3
15	ADDU OUT SKRRT SKRRT	ESL	2nd	1st	1st	1st	3rd	12	781	3	1
16	EUDU Zainab finally had that growth spu		1st	1st	1st	4th	1st	12	776	4	0
17	BAC AC	ESL	1st	4th	1st	1st	1st	12	775	4	0
18	USP Paloschi Steakhouse	ESL	2nd	1st	1st	3rd	1st	12	772	3	1
19	TCD Hist HS		3rd	1st	1st	2nd	1st	12	767	3	1
20	Oxford Keep it on the DL		1st	1st	2nd	1st	4th	11	801	3	1
21	QDU A		1st	2nd	1st	4th	1st	11	798	3	1
22	IIT Kharagpur A	ESL	1st	1st	1st	2nd	4th	11	793	3	1
23	BonBon	ESL	1st	1st	2nd	2nd	3rd	11	790	2	2
24	OG Curse OGs	ESL	2nd	2nd	1st	2nd	2nd	11	790	1	4
25	Ateneo goodluck with intercession angela		1st	3rd	1st	2nd	2nd	11	783	2	2
26	EUDU Sturgeon and Zuma sitting in a cel		1st	1st	3rd	1st	3rd	11	781	3	0
27	VIT Moneymaxing at Yelahanka’s third t	ESL	1st	2nd	1st	3rd	2nd	11	777	2	2
28	no-obs	ESL	1st	1st	4th	1st	2nd	11	776	3	1
29=	MMD2	ESL	2nd	1st	1st	4th	1st	11	774	3	1
29=	P-ISAY - NAH I’D WIN	ESL	2nd	1st	1st	4th	1st	11	774	3	1
31	VP Stupids	ESL	3rd	1st	2nd	2nd	1st	11	774	2	2
32	USIU-Africa WanjiRuru	ESL	2nd	2nd	2nd	1st	2nd	11	771	1	4
33	SDC Insulindian Insurgents		1st	3rd	3rd	1st	1st	11	770	3	0
34	KMC Jesus bhi jaat tha	ESL	3rd	1st	2nd	2nd	1st	11	770	2	2
35=	HG B(ut on Wednesday&#x27;s we wear pink)	Schools	2nd	3rd	1st	1st	2nd	11	766	2	2
35=	UP Cebu UPCallUsMother	ESL	2nd	1st	1st	3rd	2nd	11	766	2	2
35=	Shadow hunters	ESL	2nd	1st	2nd	3rd	1st	11	766	2	2
38	VIT TikTalkers	ESL	2nd	3rd	1st	2nd	1st	11	765	2	2
39	Jamnapaari goes international	ESL	1st	4th	1st	1st	2nd	11	761	3	1
40	Ilorin Fur Elise	ESL	1st	2nd	2nd	1st	3rd	11	761	2	2
41	+3 break is crazy ngl		2nd	1st	—	1st	1st	11	636	3	1
42	16 minority extensions in a trench	ESL, Schools	—	1st	1st	2nd	1st	11	622	3	1
43	Obama Runtz		1st	3rd	1st	4th	1st	10	795	3	0
44	1% analysis, 99% composure	ESL	3rd	1st	1st	1st	4th	10	788	3	0
45	This House Believes	ESL	1st	1st	4th	3rd	1st	10	781	3	0
