
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	HUJI H&amp;Y		1st	1st	1st	1st	1st	15	829	5	0
2	TCD Hist protestant work ethic meets cathol		1st	3rd	1st	1st	2nd	12	815	3	1
3	LSE Definitely going to EUDC trust us		1st	1st	2nd	1st	3rd	12	812	3	1
4	Cambridge x Bates		2nd	2nd	2nd	1st	1st	12	797	2	3
5	Manchester A		1st	2nd	1st	4th	1st	11	803	3	1
6	Oxford B		1st	2nd	2nd	2nd	2nd	11	801	1	4
7	EUDU (the pu)f(fle and the) b(eanstalk)		2nd	1st	3rd	2nd	1st	11	800	2	2
8	Abhinav Bathula from Wish and Matt		3rd	2nd	1st	2nd	1st	11	798	2	2
9	UCLA Fact checked by Americans		1st	4th	1st	1st	2nd	11	796	3	1
10	DK Wien ✨girl dinner✨ (Aperol and Truffle	ESL	4th	1st	1st	2nd	1st	11	787	3	1
11	UPenn Hot Butter Cuttlefish	Novice	1st	4th	1st	2nd	1st	11	780	3	1
12	HUJI A&amp;A	ESL	1st	1st	3rd	1st	4th	10	808	3	0
13	Feelin Whitney on Our Pre-Euros Run		1st	2nd	3rd	1st	3rd	10	807	2	1
14	LSE B	ESL	1st	2nd	1st	3rd	3rd	10	799	2	1
15	Blanchard&#x27;s Angels		4th	1st	2nd	1st	2nd	10	797	2	2
16	Bhabi Fire Fire	ESL	2nd	1st	1st	2nd	4th	10	796	2	2
17	UCD L&amp;H A		1st	2nd	2nd	3rd	2nd	10	796	1	3
18=	Oxford AP		2nd	3rd	1st	3rd	1st	10	793	2	1
18=	Athens A	ESL	1st	3rd	1st	2nd	3rd	10	793	2	1
20	Stanford TC		3rd	1st	4th	1st	1st	10	789	3	0
21	Zagreb B	ESL	1st	1st	4th	3rd	1st	10	788	3	0
22	Imperial B		3rd	2nd	3rd	1st	1st	10	786	2	1
23	Imperial A		3rd	2nd	2nd	1st	2nd	10	779	1	3
24	NSDV Trivium B	ESL	1st	3rd	4th	2nd	1st	9	796	2	1
25	Sciences Po https://open.spotify.com/playlist/		2nd	2nd	3rd	1st	3rd	9	795	1	2
26	Aberystwyth A		2nd	2nd	3rd	2nd	2nd	9	792	0	4
27	EUDU ABCDEFGHIJ(K)L(M)NOPQRSTUVWXYZ		2nd	1st	1st	3rd	4th	9	791	2	1
28	Redacted B		1st	3rd	3rd	3rd	1st	9	790	2	0
29	Harvard the panda elephants return		3rd	1st	1st	4th	2nd	9	788	2	1
30	#2024gradparty	Novice	3rd	1st	2nd	4th	1st	9	786	2	1
31	Stop saying delta im bad at maths	ESL	3rd	1st	2nd	1st	4th	9	783	2	1
32	QDU rayray &amp; jayjay		2nd	1st	4th	1st	3rd	9	782	2	1
33	TCD Phil A Brown(e) person can’t swim		2nd	4th	1st	1st	3rd	9	781	2	1
34	CDS Girl Math Economists	ESL	2nd	2nd	4th	1st	2nd	9	780	1	3
35	Oxford D&amp;H		1st	3rd	3rd	3rd	1st	9	779	2	0
36	Warwick YZ		3rd	1st	4th	1st	2nd	9	777	2	1
