
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	LSE When did Aniket get so big and str		1st	2nd	1st	1st	2nd	13	810	3	2
2	The ideal of a platonic relationsh		1st	1st	1st	3rd	1st	13	804	4	0
3	ANU Guangzhou Mama		1st	2nd	1st	2nd	1st	13	802	3	2
4	Cambridge B		1st	1st	3rd	2nd	1st	12	809	3	1
5	KCL It’s not clocking to you that I am		1st	1st	4th	1st	1st	12	801	4	0
6	quarter life crisis brought us bac	ESL	1st	1st	1st	2nd	4th	11	807	3	1
7	Old brown man COMMUNES with young		1st	3rd	1st	1st	3rd	11	802	3	0
8	Edinburgh aurafarming (si)nce agriculture is		1st	4th	1st	2nd	1st	11	801	3	1
9	Why does Hilary have an Australian		1st	4th	1st	1st	2nd	11	794	3	1
10	Oxford Bharath Anantham		1st	1st	2nd	4th	1st	11	793	3	1
11	Oxford B		2nd	1st	1st	3rd	2nd	11	793	2	2
12	Zhu-ko &amp; Hum-iroh take on Ba Sing		1st	2nd	2nd	1st	3rd	11	790	2	2
13	You’re a GERBET fam		1st	2nd	3rd	1st	2nd	11	788	2	2
14	BGU A(m I on clash?)	ESL	2nd	3rd	2nd	1st	1st	11	786	2	2
15	LSE Drunk and Drunker		3rd	1st	1st	3rd	1st	11	781	3	0
16	UCL Rick and Morty Season 2		1st	1st	2nd	1st	—	11	655	3	1
17	Edinburgh Kindly RSVP for our birthday party		2nd	2nd	3rd	1st	2nd	10	798	1	3
18	Zagreb C	ESL	3rd	2nd	1st	2nd	2nd	10	790	1	3
19	E ne le jarabi l&#x27;i la, too much		1st	2nd	2nd	1st	4th	10	786	2	2
20	A.C. G.oes AAAAAAAA	ESL	2nd	2nd	2nd	3rd	1st	10	782	1	3
21	Chicago That&#x27;s GBP, the price go up if it&#x27;		2nd	1st	2nd	2nd	3rd	10	781	1	3
22	DM Spiritual Slut and German Dad	ESL	2nd	1st	3rd	2nd	2nd	10	776	1	3
23	UCL what is bro saying???		1st	2nd	3rd	3rd	1st	10	773	2	1
24	Flint and Silver	ESL	1st	4th	1st	3rd	1st	10	772	3	0
25	Oxford C		2nd	3rd	3rd	1st	1st	10	769	2	1
26	DM Hella Adorable	ESL	2nd	1st	4th	3rd	1st	9	787	2	1
27	DKW B(aking Bread)	ESL	1st	3rd	1st	2nd	4th	9	786	2	1
28	LSE C		2nd	2nd	2nd	2nd	3rd	9	786	0	4
29	Cambridge no euros just vibes		2nd	3rd	2nd	2nd	2nd	9	782	0	4
30	Chen &amp; Qiu		1st	1st	4th	4th	1st	9	781	3	0
31	UP Manila VR	ESL	3rd	1st	1st	3rd	3rd	9	781	2	0
32	We debate best in grocery store ai		3rd	2nd	1st	2nd	3rd	9	781	1	2
33	Durham -4		1st	3rd	2nd	1st	4th	9	778	2	1
34	Copenhagen A		2nd	1st	4th	2nd	2nd	9	778	1	3
35	UCD L&amp;H E(veryone else was unavail		3rd	2nd	3rd	1st	2nd	9	777	1	2
36	Djorđa Kratovca 65/8 parking spot	ESL	2nd	3rd	2nd	1st	3rd	9	776	1	2
37	Wiseman and the Tribal Chief	ESL	2nd	1st	4th	3rd	1st	9	775	2	1
38	GUU Catholics against Jeremy Clarkson		2nd	3rd	1st	3rd	2nd	9	775	1	2
39	IITB Chakraborty &amp; Raghav Raj	ESL	2nd	2nd	4th	1st	2nd	9	772	1	3
40	he’s got me by the marbles		3rd	2nd	4th	1st	1st	9	764	2	1
41	UTJ A		3rd	3rd	1st	1st	3rd	9	762	2	0
42	Edinburgh where&#x27;s wurdaan		3rd	2nd	2nd	2nd	3rd	8	793	0	3
43	DKW Vienna (A)mbulance	ESL	2nd	1st	1st	4th	4th	8	779	2	1
44	Potsdam A-Z	ESL	1st	2nd	3rd	4th	2nd	8	779	1	2
45	DKW Vienna AT		3rd	1st	3rd	1st	4th	8	778	2	0
46	Aberdeen BW… (B)ut not the one you		1st	2nd	2nd	4th	3rd	8	777	1	2
47	THUJ HUJI M&amp;S		3rd	2nd	3rd	3rd	1st	8	773	1	1
48	AUBG A	ESL	4th	3rd	1st	3rd	1st	8	770	2	0
49	uw(o)ds (t)ed		1st	4th	2nd	4th	1st	8	766	2	1
50	Tcd hist b(ack to doing prep comps		2nd	2nd	1st	4th	3rd	8	761	1	2
51	4 am start :smile: 3 am start :cry		3rd	1st	4th	3rd	1st	8	760	2	0
52	Bowling Represent	ESL	4th	1st	1st	4th	2nd	8	755	2	1
53	Ito Atsuki Fan Club 😘💕❤️		4th	1st	3rd	1st	3rd	8	755	2	0
54	NU S	ESL	4th	3rd	1st	2nd	2nd	8	751	1	2
55	A Veteran Doctor and a Rookie Engi	ESL	4th	1st	4th	1st	2nd	8	749	2	1
56	Technion A	ESL	1st	1st	3rd	4th	4th	7	784	2	0
57	KU Mandatory military dropouts	ESL	2nd	3rd	3rd	3rd	2nd	7	772	0	2
58	surely we will wake up		2nd	2nd	3rd	3rd	3rd	7	770	0	2
59	NU AB	ESL	4th	1st	2nd	4th	2nd	7	766	1	2
60	Tokyo fell asleep	ESL	3rd	1st	4th	2nd	3rd	7	766	1	1
61	McGill Jacob Silcoff&#x27;s lobotomy victims		2nd	4th	2nd	1st	4th	7	765	1	2
62=	UP Manila JC	ESL	3rd	3rd	2nd	1st	4th	7	765	1	1
