
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Harvard HW		1st	1st	1st	1st	2nd	14	801	4	1
2	Harvard HT		3rd	1st	1st	1st	1st	13	809	4	0
3	Stanford SZ		1st	3rd	1st	1st	1st	13	808	4	0
4	UPenn ND	Novice	2nd	2nd	2nd	1st	1st	12	812	2	3
5	Chicago LB		1st	1st	2nd	1st	3rd	12	807	3	1
6	McGill ZS		1st	2nd	1st	2nd	2nd	12	805	2	3
7	Penn/Independent CS	Novice	2nd	2nd	1st	2nd	1st	12	792	2	3
8	Chicago KN		2nd	1st	1st	3rd	2nd	11	812	2	2
9	Princeton XI		1st	2nd	2nd	1st	3rd	11	806	2	2
10	JHU YG		1st	3rd	1st	2nd	2nd	11	804	2	2
11	Harvard BC		1st	1st	2nd	4th	1st	11	803	3	1
12	Cornell KP		1st	2nd	2nd	3rd	1st	11	796	2	2
13	Stanford HI		1st	2nd	1st	4th	1st	11	793	3	1
14	Dartmouth LW		1st	1st	1st	2nd	4th	11	792	3	1
15	Princeton IH		3rd	1st	3rd	1st	1st	11	787	3	0
16	Brown F		2nd	2nd	2nd	1st	2nd	11	775	1	4
17	Wake Forest/Hart House Hybrid AS		1st	3rd	4th	1st	1st	10	794	3	0
18	HH WM	Novice	3rd	1st	1st	3rd	2nd	10	794	2	1
19	UPenn GL		2nd	1st	2nd	2nd	3rd	10	792	1	3
20	Princeton LM		1st	4th	1st	2nd	2nd	10	790	2	2
21	Chicago HK		4th	1st	1st	1st	3rd	10	786	3	0
22	Cornell OK		3rd	1st	2nd	2nd	2nd	10	778	1	3
23	Princeton GC		1st	4th	3rd	1st	1st	10	774	3	0
24	Princeton LD	Novice, ESL	2nd	1st	4th	2nd	1st	10	772	2	2
25	Western/Queen&#x27;s SW		2nd	1st	3rd	4th	1st	9	789	2	1
26	HWS PK		1st	1st	4th	3rd	2nd	9	788	2	1
27	UPenn MK	Novice, ESL	3rd	2nd	1st	3rd	2nd	9	786	1	2
28	Stanford QY		4th	2nd	1st	3rd	1st	9	785	2	1
29	Harvard SG	Novice, ESL	1st	1st	3rd	3rd	3rd	9	785	2	0
30	McGill CW		3rd	1st	2nd	1st	4th	9	782	2	1
31	Brown AH		1st	3rd	3rd	1st	3rd	9	782	2	0
32	Harvard AB		2nd	3rd	2nd	3rd	1st	9	780	1	2
33	UWODS UC		2nd	1st	4th	1st	3rd	9	778	2	1
34=	Stanford CF		2nd	3rd	4th	1st	1st	9	777	2	1
34=	Yale LD	Novice	2nd	1st	3rd	1st	4th	9	777	2	1
36	HH ZZ	Novice	2nd	4th	1st	2nd	2nd	9	777	1	3
37	UWODS CS		1st	2nd	1st	3rd	4th	9	775	2	1
38	Harvard LS		2nd	2nd	1st	4th	2nd	9	775	1	3
39	Yale WL	Novice	4th	2nd	3rd	1st	1st	9	773	2	1
40	Yale ST	Novice	2nd	2nd	2nd	2nd	3rd	9	770	0	4
41	HH WeMa	Novice	2nd	3rd	1st	3rd	2nd	9	763	1	2
42	Stanford AT	Novice	4th	4th	1st	1st	1st	9	759	3	0
43	Bates ML	ESL	2nd	4th	1st	1st	4th	8	786	2	1
44	Brandeis NS		1st	4th	3rd	2nd	2nd	8	774	1	2
45	UPenn KA		3rd	4th	1st	2nd	2nd	8	773	1	2
46	Stanford DO	Novice	2nd	1st	3rd	2nd	4th	8	772	1	2
47	Stanford ChFr	Novice	4th	4th	1st	2nd	1st	8	771	2	1
48	uOttawa KO		3rd	1st	3rd	4th	1st	8	771	2	0
49	Stanford DG	Novice	1st	1st	3rd	4th	3rd	8	770	2	0
50	McGill SB		3rd	2nd	2nd	2nd	3rd	8	769	0	3
51	Harvard FR	Novice	1st	3rd	3rd	4th	1st	8	768	2	0
52	Princeton BK	Novice	3rd	4th	1st	2nd	2nd	8	768	1	2
53	Cornell OC		2nd	3rd	1st	2nd	4th	8	767	1	2
54	Bates WN	Novice, ESL	3rd	2nd	2nd	1st	4th	8	766	1	2
55	Swarthmore College/Haverford Colle	Novice	3rd	3rd	2nd	3rd	1st	8	763	1	1
56	USC GF		3rd	2nd	3rd	2nd	2nd	8	763	0	3
57	Morehouse SO		1st	4th	3rd	1st	3rd	8	755	2	0
58	Harvard HV	Novice	4th	4th	2nd	1st	1st	8	753	2	1
59	UPenn CC	Novice, ESL	3rd	1st	3rd	2nd	3rd	8	749	1	1
60=	Columbia RB		2nd	1st	3rd	3rd	4th	7	776	1	1
60=	USC BP		1st	2nd	4th	3rd	3rd	7	776	1	1
62	Rochester IN	ESL	2nd	4th	3rd	1st	3rd	7	771	1	1
63	QDU MK		3rd	3rd	2nd	1st	4th	7	770	1	1
64	Stanford LB	Novice	1st	2nd	2nd	4th	4th	7	769	1	2
65	Yale WY	Novice	1st	3rd	4th	4th	1st	7	768	2	0
66	Chicago GK	ESL	2nd	4th	2nd	1st	4th	7	765	1	2
67	Princeton BoKa	Novice	2nd	4th	4th	2nd	1st	7	764	1	2
68	HH NW	Novice	3rd	3rd	1st	3rd	3rd	7	764	1	0
69	Stanford KD	Novice	1st	2nd	4th	4th	2nd	7	763	1	2
70	JHU WG	Novice	2nd	4th	3rd	3rd	1st	7	763	1	1
71	UWODS GA	Novice	2nd	4th	3rd	2nd	2nd	7	761	0	3
72	HH RS	Novice	3rd	3rd	2nd	3rd	2nd	7	760	0	2
73	McGill HN	Novice, ESL	3rd	4th	2nd	1st	3rd	7	759	1	1
74	HWS TR	Novice, ESL	2nd	3rd	3rd	2nd	3rd	7	759	0	2
75	Stanford CK	Novice	4th	3rd	1st	1st	4th	7	756	2	0
76	HWS Wv	Novice, ESL	3rd	4th	2nd	2nd	2nd	7	755	0	3
77	QDU KB	Novice	3rd	1st	4th	2nd	3rd	7	752	1	1
78	Fordham WH		4th	1st	4th	2nd	2nd	7	749	1	2
79	Chicago QM		4th	1st	4th	2nd	3rd	6	775	1	1
80	Chicago JG		2nd	2nd	4th	4th	2nd	6	771	0	3
81	Princeton RI	Novice	1st	4th	1st	4th	4th	6	769	2	0
82	Bates HT	Novice, ESL	4th	2nd	2nd	4th	2nd	6	765	0	3
83	Stanford CS		1st	3rd	2nd	4th	4th	6	763	1	1
84	USC JL	Novice	3rd	2nd	2nd	4th	3rd	6	763	0	2
85	Middlebury GN		3rd	2nd	2nd	3rd	4th	6	760	0	2
86=	HH OO		3rd	3rd	1st	3rd	4th	6	759	1	0
86=	Williams IL		1st	3rd	3rd	4th	3rd	6	759	1	0
88	HWS MH	Novice	2nd	3rd	3rd	4th	2nd	6	758	0	2
89	Stanford CC		4th	3rd	1st	2nd	4th	6	753	1	1
90	Columbia ND	Novice	4th	3rd	3rd	3rd	1st	6	752	1	0
91	Stanford AR	Novice	4th	2nd	2nd	3rd	3rd	6	745	0	2
92	Boston PW		1st	4th	1st	4th	—	6	608	2	0
93	McGill/Harvard HI	Novice	2nd	2nd	4th	3rd	4th	5	754	0	2
94	uOttawa AL	Novice	3rd	3rd	3rd	3rd	3rd	5	754	0	0
95	Stanford TY	Novice	3rd	2nd	4th	4th	2nd	5	748	0	2
96	UPenn SA	Novice	3rd	4th	2nd	3rd	3rd	5	748	0	1
97	Pepperdine PW	Novice	4th	1st	2nd	4th	4th	5	742	1	1
98	Bates CS	Novice	4th	2nd	4th	2nd	3rd	5	742	0	2
99	HWS TT	Novice	4th	4th	2nd	4th	1st	5	739	1	1
100	Morehouse CH	Novice	4th	2nd	4th	1st	4th	5	731	1	1
101	Middlebury SS	Novice, ESL	3rd	3rd	2nd	3rd	4th	5	724	0	1
102	Yale TM	Novice	4th	1st	4th	4th	3rd	4	757	1	0
103	UdeS MB	ESL	2nd	4th	4th	4th	2nd	4	741	0	2
104	Middlebury CM	Novice	4th	4th	4th	3rd	1st	4	738	1	0
105	Middlebury BB	Novice	4th	3rd	4th	1st	4th	4	730	1	0
106	Rutgers JP	Novice	3rd	3rd	4th	4th	2nd	4	725	0	1
107	Swing A		1st	4th	4th	3rd	—	4	604	1	0
108	Swing B		3rd	4th	4th	1st	—	4	602	1	0
109	Boston FC	Novice	4th	2nd	3rd	3rd	—	4	596	0	1
110	USC BD		2nd	3rd	4th	4th	4th	3	752	0	1
111	SYSU YF	ESL	3rd	4th	3rd	3rd	4th	3	749	0	0
112	Middlebury YH	Novice	4th	2nd	3rd	4th	4th	3	734	0	1
113	Fordham KD	Novice	4th	3rd	4th	3rd	3rd	3	734	0	0
114	Yale KK		4th	3rd	4th	2nd	—	3	593	0	1
115	Brandeis CB		4th	1st	4th	—	4th	3	584	1	0
116	Boston WG	Novice, ESL	4th	1st	4th	4th	—	3	583	1	0
117	Boston MY	Novice	4th	4th	3rd	2nd	—	3	576	0	1
118	York BI	Novice	4th	4th	3rd	4th	3rd	2	729	0	0
119	W&amp;M BS	ESL	4th	3rd	3rd	4th	—	2	605	0	0
120	Swing C		—	—	—	3rd	—	1	153	0	0
121	Rutgers AM	Novice	4th	4th	4th	4th	4th	0	701	0	0


Rk	name	category	team	R1	R2	R3	R4	R5	Total	Avg	Stdev
1	Benny Nicholson		Chicago KN	81	81	84	82	80	408	81.60	1.36
2=	Jacob Silcoff		McGill ZS	80	81	81	83	82	407	81.40	1.02
2=	Maxwell DeLorenzo	Novice	UPenn ND	82	78	83	83	81	407	81.40	1.85
4	Tejas Subramaniam		Stanford SZ	82	78	83	82	81	406	81.20	1.72
5=	Ye Joo Han		Harvard HT	79	83	80	80	83	405	81.00	1.67
5=	Muzammil Godil	ESL	JHU YG	81	80	83	82	79	405	81.00	1.41
5=	Brian Li		Chicago LB	81	81	81	83	79	405	81.00	1.26
5=	Hasit Nanda	Novice	UPenn ND	81	79	83	82	80	405	81.00	1.41
9=	Matti Tan		Harvard HT	79	83	81	79	82	404	80.80	1.60
9=	Rohan Kapoor		Chicago KN	80	80	84	80	80	404	80.80	1.60
9=	Xiao-Ke Lu		Princeton XI	81	80	82	80	81	404	80.80	0.75
12=	Miles Wang	Novice	Harvard HW	80	80	83	80	79	402	80.40	1.36
12=	Matej Cerman		Harvard BC	82	82	80	77	81	402	80.40	1.85
12=	Robert Brown		Chicago LB	81	79	81	83	78	402	80.40	1.74
12=	Isaac Cape		Princeton XI	82	79	81	80	80	402	80.40	1.02
12=	Vivian Zhu		Stanford SZ	80	77	84	81	80	402	80.40	2.24
17	Rohan Battula	Novice	Harvard BC	82	83	79	76	81	401	80.20	2.48
18=	Eli Pallrand		Cornell KP	79	82	79	80	79	399	79.80	1.17
18=	Max Williams	Novice	HH WM	81	80	80	78	80	399	79.80	0.98
18=	Jenna Hong		Harvard HW	81	79	82	78	79	399	79.80	1.47
18=	Nathaniel Yoon		JHU YG	79	79	82	79	80	399	79.80	1.17
22=	Hannah Zhao		McGill ZS	79	77	79	81	82	398	79.60	1.74
22=	Michael Chen	Novice	Penn/Independent CS	78	81	79	79	81	398	79.60	1.20
24=	Meg Kandarpa		Cornell KP	78	80	79	80	80	397	79.40	0.80
24=	Ryan Lafferty		Dartmouth LW	80	81	81	79	76	397	79.40	1.85
24=	Jacquelynn Lin		Princeton LM	84	75	80	77	81	397	79.40	3.14
24=	Senkai Hsia		Stanford HI	79	78	77	81	82	397	79.40	1.85
24=	Matt Aydin		Wake Forest/Hart House Hybrid AS	81	77	75	80	84	397	79.40	3.14
24=	Gwen Stearns		Wake Forest/Hart House Hybrid AS	79	78	75	82	83	397	79.40	2.87
30=	Sreyan Kanungo		HWS PK	80	79	79	77	81	396	79.20	1.33
30=	Mariana Icaza Diaz	ESL	Princeton IH	81	78	78	78	81	396	79.20	1.47
30=	Jubayer Ibn Hamid		Stanford HI	79	79	76	80	82	396	79.20	1.94
30=	Manya Gupta		UPenn GL	79	81	78	79	79	396	79.20	0.98
30=	Allan Lee		UPenn GL	80	81	78	78	79	396	79.20	1.17
35=	Madeleine Wu	Novice	Dartmouth LW	79	81	81	78	76	395	79.00	1.90
35=	Caitlin Mah	Novice	HH WM	79	79	79	78	80	395	79.00	0.63
35=	Humaid Saleem	Novice, ESL	Harvard SG	78	80	80	79	78	395	79.00	0.89
35=	Ahmad Howard		Chicago HK	76	79	82	80	78	395	79.00	2.00
35=	Manuel Machorro	ESL	Bates ML	78	79	77	82	79	395	79.00	1.67
35=	Diggory Waddle		Western/Queen&#x27;s SW	80	80	77	79	79	395	79.00	1.10
41=	Ram Mayo	Novice, ESL	UPenn MK	80	79	78	77	80	394	78.80	1.17
41=	Andrew Shi	Novice	Penn/Independent CS	77	80	79	78	80	394	78.80	1.17
41=	Daniel Svirsky		Western/Queen&#x27;s SW	79	81	76	78	80	394	78.80	1.72
44=	Claire Chen	Novice	McGill CW	76	78	82	79	78	393	78.60	1.96
44=	Mac Hays		Brown AH	78	77	77	81	80	393	78.60	1.62
44=	Uma Menon		Princeton LM	83	74	78	78	80	393	78.60	2.94
44=	Stone Yang		Stanford QY	77	78	82	75	81	393	78.60	2.58
48=	Kayla Powers		HWS PK	79	78	78	78	79	392	78.40	0.49
48=	Tori Qiu		Stanford QY	76	78	82	75	81	392	78.40	2.73
48=	Jeongha Kim	Novice, ESL	UPenn MK	80	79	77	77	79	392	78.40	1.20
51=	Ben Koch		Chicago HK	75	78	81	79	78	391	78.20	1.94
51=	Oyuka Lyndon	ESL	Bates ML	77	78	77	81	78	391	78.20	1.47
51=	Afzal Hussain		Princeton IH	79	77	78	77	80	391	78.20	1.17
54=	Ram Orfanel	ESL	Cornell OK	76	78	79	78	79	390	78.00	1.10
54=	Ananya Ganesh	Novice, ESL	Harvard SG	77	79	80	77	77	390	78.00	1.26
54=	Nir Amin		Harvard AB	77	78	79	77	79	390	78.00	0.89
54=	Inko Bovenzi		Harvard AB	76	77	80	79	78	390	78.00	1.41
54=	Sherry Shu	Novice	UWODS CS	79	78	79	77	77	390	78.00	0.89
54=	Zion Chan	Novice	UWODS UC	78	79	76	79	78	390	78.00	1.10
54=	Frank Lin	Novice, ESL	Yale LD	78	78	77	79	78	390	78.00	0.63
61=	Jack Zhu	Novice	HH ZZ	80	76	78	79	76	389	77.80	1.60
61=	Joseph Wu		McGill CW	75	77	82	79	76	389	77.80	2.48
61=	Anqi Qu		Chicago QM	79	80	78	77	75	389	77.80	1.72
61=	Charles Ndlovu	ESL	Rochester IN	79	76	77	79	78	389	77.80	1.17
61=	Alex Patel		USC BP	80	78	78	77	76	389	77.80	1.33
61=	Toby Arment		Brown AH	77	76	77	80	79	389	77.80	1.47
61=	Karen Cho		Stanford CF	79	78	75	79	78	389	77.80	1.47
61=	Bess Olshen	Novice	Stanford DO	79	78	75	83	74	389	77.80	3.19
69=	Ethan Shurberg		Brandeis NS	78	75	79	77	79	388	77.60	1.50
69=	Anna Reis		Columbia RB	77	79	78	80	74	388	77.60	2.06
69=	Stuart Beal		Columbia RB	77	79	78	80	74	388	77.60	2.06
69=	Yoon Sung Kim		Cornell OK	76	77	78	78	79	388	77.60	1.02
69=	David Zu	Novice	HH ZZ	81	75	76	79	77	388	77.60	2.15
69=	Catherine Liu		Harvard LS	76	79	80	77	76	388	77.60	1.62
69=	Laura Giugno		Chicago JG	79	79	76	75	79	388	77.60	1.74
69=	Anais Kneppers		uOttawa KO	78	77	81	75	77	388	77.60	1.96
69=	Leo Fleissig	Novice	Brown F	76	77	78	79	78	388	77.60	1.02
69=	Livi McElrea		QDU MK	78	76	79	80	75	388	77.60	1.85
69=	Sajid Farook		Stanford CF	79	78	74	79	78	388	77.60	1.85
69=	Sena Kim	ESL	UPenn KA	77	76	75	81	79	388	77.60	2.15
69=	Adam Ursenbach		UWODS UC	77	79	77	78	77	388	77.60	0.80
82=	Daniel Sheremeta		Harvard LS	76	78	79	77	77	387	77.40	1.02
82=	Adam Bistagne		USC BP	79	78	77	76	77	387	77.40	1.02
82=	Stella Ren	Novice	Princeton RI	76	78	82	77	74	387	77.40	2.65
82=	Srishti Ghosh		Princeton GC	79	76	74	79	79	387	77.40	2.06
82=	Genevieve Cox		Princeton GC	79	77	74	78	79	387	77.40	1.85
82=	Ben Daniels	Novice	Yale LD	77	78	77	78	77	387	77.40	0.49
82=	Felix Leonhardt	Novice	Yale WL	76	78	78	75	80	387	77.40	1.74
89=	Srishti Nautiyal	ESL	Brandeis NS	79	74	78	78	77	386	77.20	1.72
89=	Michael Moran		Chicago QM	80	78	77	77	74	386	77.20	1.94
89=	Wee Ern Lau	Novice, ESL	Princeton LD	78	78	74	75	81	386	77.20	2.48
89=	Janul De Silva	Novice, ESL	Princeton LD	76	80	74	76	80	386	77.20	2.40
89=	Jennifer Lin	Novice	Stanford LB	77	78	76	78	77	386	77.20	0.75
89=	Teddy Ganea	Novice	Stanford DG	78	78	77	77	76	386	77.20	0.75
89=	Nadia Chung	Novice	Stanford ChFr	76	78	75	78	79	386	77.20	1.47
89=	Hugo Wang	Novice	Yale WY	80	77	77	75	77	386	77.20	1.60
89=	Sophia Wang	Novice	Yale WL	74	79	78	75	80	386	77.20	2.32
98=	Isabel Orlando		Cornell OC	77	77	75	78	78	385	77.00	1.10
98=	William Wang	Novice	HH NW	78	75	78	77	77	385	77.00	1.10
98=	Max Fan	Novice	Harvard FR	78	78	76	75	78	385	77.00	1.26
98=	Lucille Bergmann		McGill SB	75	77	76	79	78	385	77.00	1.41
98=	Jay Kang	Novice	Princeton BK	75	75	79	78	78	385	77.00	1.67
98=	Rahul Kalavagunta	Novice	Princeton BoKa	77	77	75	76	80	385	77.00	1.67
98=	Gabriel Frank-McPheter	Novice	Stanford ChFr	77	75	76	78	79	385	77.00	1.41
98=	Sparsh Agrawal		UPenn KA	76	76	77	79	77	385	77.00	1.10
98=	Jeffew Cheung		UWODS CS	77	77	78	77	76	385	77.00	0.63
98=	Teddy Tawil	Novice	Yale ST	77	78	77	76	77	385	77.00	0.63
98=	Naz Soysal	Novice	Yale ST	77	77	77	76	78	385	77.00	0.63
109=	Cherry Sun		McGill SB	75	77	76	80	76	384	76.80	1.72
109=	Veer Juneja	Novice	USC JL	77	77	77	78	75	384	76.80	0.98
109=	Tosca Neumann	Novice, ESL	Bates WN	76	77	74	80	77	384	76.80	1.94
109=	Tanvir Thamid	Novice, ESL	Bates HT	79	78	76	75	76	384	76.80	1.47
109=	Tushar Dalmia	Novice	Stanford KD	79	77	76	76	76	384	76.80	1.17
109=	Dilan Desir	Novice	Stanford DG	78	77	78	76	75	384	76.80	1.17
115=	Joseph Mai	Novice	HH WeMa	77	77	77	76	76	383	76.60	0.49
115=	Moira O’Donoghue		HH OO	75	76	81	75	76	383	76.60	2.24
115=	Tilly Robinson	Novice	Harvard FR	76	79	75	75	78	383	76.60	1.62
115=	Dhruv Kohli	Novice, ESL	Chicago GK	75	75	80	78	75	383	76.60	2.06
115=	Samuel Johnson		Chicago JG	79	78	75	76	75	383	76.60	1.62
115=	Aidan O&#x27;Brien		uOttawa KO	76	77	80	74	76	383	76.60	1.96
115=	Robel Berhe	Novice	Princeton BK	76	73	80	77	77	383	76.60	2.24
115=	Claire Beamer	Novice	Stanford LB	76	78	75	78	76	383	76.60	1.20
115=	Amy Chang	Novice	Stanford CS	77	76	79	75	76	383	76.60	1.36
115=	Hailey Demars	Novice	Stanford DO	78	78	74	80	73	383	76.60	2.65
125=	Cristian Carranza	Novice	Cornell OC	77	77	75	77	76	382	76.40	0.80
125=	Vivek Sapru	Novice	HH RS	76	76	75	76	79	382	76.40	1.36
125=	Justin Wu	Novice	JHU WG	77	78	73	76	78	382	76.40	1.85
125=	Ishaan Goel	ESL	Chicago GK	76	74	79	78	75	382	76.40	1.85
125=	Stine Isak	ESL	Rochester IN	77	76	76	78	75	382	76.40	1.02
125=	Aryan Gulati		USC GF	75	79	74	76	78	382	76.40	1.85
125=	Angus Li		Williams IL	79	75	78	75	75	382	76.40	1.74
125=	William Wu	Novice, ESL	Bates WN	75	76	75	79	77	382	76.40	1.50
125=	Aabid Ismail	Novice	Princeton RI	76	77	80	76	73	382	76.40	2.24
125=	Nimai Koneru		QDU MK	76	76	77	79	74	382	76.40	1.62
125=	Tim Guo	Novice	UWODS GA	77	75	75	77	78	382	76.40	1.20
125=	Anouk Yeh	Novice	Yale WY	78	77	77	74	76	382	76.40	1.36
125=	Ken Barkdoll	Novice	Swarthmore College/Haverford Colle	73	77	76	77	79	382	76.40	1.96
138=	Rohan Ganesh	Novice	JHU WG	78	76	74	75	78	381	76.20	1.60
138=	Asia Navarrete	Novice, ESL	McGill HN	78	73	76	79	75	381	76.20	2.14
138=	Aidan Feighery		USC GF	75	78	74	77	77	381	76.20	1.47
138=	Linh Hoang Vu	Novice, ESL	Bates HT	78	78	74	74	77	381	76.20	1.83
138=	Joseph Kim	Novice	Stanford CK	77	76	79	78	71	381	76.20	2.79
138=	Andrew Conkey		Stanford CC	75	77	77	77	75	381	76.20	0.98
138=	Jonah Paterson	Novice	Swarthmore College/Haverford Colle	74	76	77	77	77	381	76.20	1.17
145=	Silin Wei	Novice	HH WeMa	76	78	76	75	75	380	76.00	1.10
145=	Sandeep Tissaaratchy	Novice, ESL	HWS TR	76	76	74	79	75	380	76.00	1.67
145=	Matt Goodman		Middlebury GN	77	76	75	76	76	380	76.00	0.63
145=	Nam Nguyen	Novice, ESL	Middlebury GN	76	77	74	77	76	380	76.00	1.10
145=	Marion Santo		Stanford CS	78	74	77	75	76	380	76.00	1.41
145=	Seamus Allen	Novice	Stanford AT	74	74	77	75	80	380	76.00	2.28
151=	Nicholas Ng	Novice	HH NW	77	74	77	75	76	379	75.80	1.17
151=	Kyle Mast	Novice	HWS MH	77	76	75	75	76	379	75.80	0.75
151=	Jack Hanson	Novice	HWS MH	77	75	76	75	76	379	75.80	0.75
151=	Lamia Nur Rahman	Novice, ESL	HWS TR	75	77	73	79	75	379	75.80	2.04
151=	Anna Liu	Novice	USC JL	75	76	77	77	74	379	75.80	1.17
151=	Bryan Boateng	Novice	Princeton BoKa	75	77	76	75	76	379	75.80	0.75
151=	Abhay Katoch	Novice	QDU KB	78	78	77	70	76	379	75.80	2.99
151=	Kevin Khadavi	Novice	Stanford KD	77	75	77	75	75	379	75.80	0.98
151=	Benjamin Thomas	Novice	Stanford AT	74	74	77	75	79	379	75.80	1.94
151=	Helen Chau	Novice, ESL	UPenn CC	75	76	78	78	72	379	75.80	2.23
151=	Salaar Ali	Novice	UWODS GA	76	75	75	76	77	379	75.80	0.75
151=	Jeffrey Tan	Novice	Yale TM	76	77	75	75	76	379	75.80	0.75
163=	Jonah Rosen	Novice	HH RS	75	77	74	76	76	378	75.60	1.02
163=	Hugo Hinze	Novice, ESL	Harvard HV	74	77	75	76	76	378	75.60	1.02
163=	Anjalee Wanduragala	Novice, ESL	HWS Wv	76	75	78	74	75	378	75.60	1.36
163=	Nanami Haruyama	Novice, ESL	McGill HN	77	73	75	79	74	378	75.60	2.15
163=	Isaac Smith		Morehouse SO	79	77	75	72	75	378	75.60	2.33
163=	Hamza Aziz	Novice	uOttawa AL	75	76	74	77	76	378	75.60	1.02
163=	Jacob Mansfield	Novice	Yale TM	75	77	76	75	75	378	75.60	0.80
163=	Indra Islas Luz	Novice, ESL	McGill/Harvard HI	77	78	74	76	73	378	75.60	1.85
171=	Julia van Neerrijnen	Novice, ESL	HWS Wv	76	74	78	74	75	377	75.40	1.50
171=	Patrick Ohazurike		Morehouse SO	78	78	75	71	75	377	75.40	2.58
171=	Hugo Ichioka	ESL	Williams IL	77	75	77	74	74	377	75.40	1.36
174=	Madiyar Nurakhmetov	Novice, ESL	Columbia ND	74	77	76	73	76	376	75.20	1.47
174=	Khanh Doan	Novice	Columbia ND	73	77	74	75	77	376	75.20	1.60
174=	Joseph Oberfeld	Novice	HH OO	74	73	79	75	75	376	75.20	2.04
174=	Ruolin Fang	ESL	SYSU YF	75	76	77	75	73	376	75.20	1.33
174=	Jasmine Leung	Novice	uOttawa AL	76	76	73	76	75	376	75.20	1.17
174=	Katie Hillemeyer	Novice	McGill/Harvard HI	76	77	75	76	72	376	75.20	1.72
180=	Jacob Weinberg		Fordham WH	75	76	75	74	75	375	75.00	0.63
